Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Västerlösa;85270;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-05-01 00:00:00;2011-02-28 23:59:59;75.0;58.4447;15.3772

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2003-03-09 00:00:01;2003-03-10 00:00:00;2003-03-09;2.2;Y
2003-03-10 00:00:01;2003-03-11 00:00:00;2003-03-10;5.5;Y
2003-03-11 00:00:01;2003-03-12 00:00:00;2003-03-11;5.3;Y
2003-03-12 00:00:01;2003-03-13 00:00:00;2003-03-12;3.1;Y
2003-03-13 00:00:01;2003-03-14 00:00:00;2003-03-13;2.4;Y
2003-03-14 00:00:01;2003-03-15 00:00:00;2003-03-14;3.5;Y
2003-03-15 00:00:01;2003-03-16 00:00:00;2003-03-15;4.2;Y
2003-03-16 00:00:01;2003-03-17 00:00:00;2003-03-16;3.0;Y
2003-03-17 00:00:01;2003-03-18 00:00:00;2003-03-17;5.0;Y
2003-03-18 00:00:01;2003-03-19 00:00:00;2003-03-18;4.3;Y
2003-03-19 00:00:01;2003-03-20 00:00:00;2003-03-19;4.5;Y
2003-03-20 00:00:01;2003-03-21 00:00:00;2003-03-20;-0.9;Y
2003-03-21 00:00:01;2003-03-22 00:00:00;2003-03-21;-0.6;Y
2003-03-22 00:00:01;2003-03-23 00:00:00;2003-03-22;3.8;Y
2003-03-23 00:00:01;2003-03-24 00:00:00;2003-03-23;6.1;Y
2003-03-24 00:00:01;2003-03-25 00:00:00;2003-03-24;3.1;Y
2003-03-25 00:00:01;2003-03-26 00:00:00;2003-03-25;3.9;Y
2003-03-26 00:00:01;2003-03-27 00:00:00;2003-03-26;5.0;Y
2003-03-27 00:00:01;2003-03-28 00:00:00;2003-03-27;6.5;Y
2003-03-28 00:00:01;2003-03-29 00:00:00;2003-03-28;5.7;Y
2003-03-29 00:00:01;2003-03-30 00:00:00;2003-03-29;6.2;Y
2003-03-30 00:00:01;2003-03-31 00:00:00;2003-03-30;5.8;Y
2003-03-31 00:00:01;2003-04-01 00:00:00;2003-03-31;4.4;Y
2003-04-01 00:00:01;2003-04-02 00:00:00;2003-04-01;3.5;Y
2003-04-02 00:00:01;2003-04-03 00:00:00;2003-04-02;4.3;Y
2003-04-03 00:00:01;2003-04-04 00:00:00;2003-04-03;2.5;Y
2003-04-04 00:00:01;2003-04-05 00:00:00;2003-04-04;4.6;Y
2003-04-05 00:00:01;2003-04-06 00:00:00;2003-04-05;2.4;Y
2003-04-06 00:00:01;2003-04-07 00:00:00;2003-04-06;0.1;Y
2003-04-07 00:00:01;2003-04-08 00:00:00;2003-04-07;-0.1;Y
2003-04-08 00:00:01;2003-04-09 00:00:00;2003-04-08;-0.2;Y
2003-04-09 00:00:01;2003-04-10 00:00:00;2003-04-09;0.7;Y
2003-04-10 00:00:01;2003-04-11 00:00:00;2003-04-10;-0.1;Y
2003-04-11 00:00:01;2003-04-12 00:00:00;2003-04-11;0.6;Y
2003-04-12 00:00:01;2003-04-13 00:00:00;2003-04-12;1.8;Y
2003-04-13 00:00:01;2003-04-14 00:00:00;2003-04-13;4.0;Y
2003-04-14 00:00:01;2003-04-15 00:00:00;2003-04-14;5.8;Y
2003-04-15 00:00:01;2003-04-16 00:00:00;2003-04-15;7.3;Y
2003-04-16 00:00:01;2003-04-17 00:00:00;2003-04-16;9.9;Y
2003-04-17 00:00:01;2003-04-18 00:00:00;2003-04-17;9.3;Y
2003-04-18 00:00:01;2003-04-19 00:00:00;2003-04-18;4.1;Y
2003-04-19 00:00:01;2003-04-20 00:00:00;2003-04-19;7.0;Y
2003-04-20 00:00:01;2003-04-21 00:00:00;2003-04-20;7.9;Y
2003-04-21 00:00:01;2003-04-22 00:00:00;2003-04-21;9.3;Y
2003-04-22 00:00:01;2003-04-23 00:00:00;2003-04-22;12.7;Y
2003-04-23 00:00:01;2003-04-24 00:00:00;2003-04-23;10.3;Y
2003-04-24 00:00:01;2003-04-25 00:00:00;2003-04-24;3.7;Y
2003-04-25 00:00:01;2003-04-26 00:00:00;2003-04-25;4.2;Y
2003-04-26 00:00:01;2003-04-27 00:00:00;2003-04-26;6.6;Y
2003-04-27 00:00:01;2003-04-28 00:00:00;2003-04-27;4.0;Y
2003-04-28 00:00:01;2003-04-29 00:00:00;2003-04-28;4.4;Y
2003-04-29 00:00:01;2003-04-30 00:00:00;2003-04-29;7.2;Y
2003-04-30 00:00:01;2003-05-01 00:00:00;2003-04-30;12.1;Y
2003-05-01 00:00:01;2003-05-02 00:00:00;2003-05-01;9.7;Y
2003-05-02 00:00:01;2003-05-03 00:00:00;2003-05-02;10.1;Y
2003-05-03 00:00:01;2003-05-04 00:00:00;2003-05-03;6.4;Y
2003-05-04 00:00:01;2003-05-05 00:00:00;2003-05-04;5.1;Y
2003-05-05 00:00:01;2003-05-06 00:00:00;2003-05-05;12.3;Y
2003-05-06 00:00:01;2003-05-07 00:00:00;2003-05-06;12.0;Y
2003-05-07 00:00:01;2003-05-08 00:00:00;2003-05-07;10.3;Y
2003-05-08 00:00:01;2003-05-09 00:00:00;2003-05-08;11.1;Y
2003-05-09 00:00:01;2003-05-10 00:00:00;2003-05-09;11.2;Y
2003-05-10 00:00:01;2003-05-11 00:00:00;2003-05-10;10.1;Y
2003-05-11 00:00:01;2003-05-12 00:00:00;2003-05-11;10.5;Y
2003-05-12 00:00:01;2003-05-13 00:00:00;2003-05-12;12.0;Y
2003-05-13 00:00:01;2003-05-14 00:00:00;2003-05-13;10.8;Y
2003-05-14 00:00:01;2003-05-15 00:00:00;2003-05-14;9.7;Y
2003-05-15 00:00:01;2003-05-16 00:00:00;2003-05-15;9.3;Y
2003-05-16 00:00:01;2003-05-17 00:00:00;2003-05-16;9.8;Y
2003-05-17 00:00:01;2003-05-18 00:00:00;2003-05-17;9.7;Y
2003-05-18 00:00:01;2003-05-19 00:00:00;2003-05-18;11.8;Y
2003-05-19 00:00:01;2003-05-20 00:00:00;2003-05-19;11.1;Y
2003-05-20 00:00:01;2003-05-21 00:00:00;2003-05-20;11.7;Y
2003-05-21 00:00:01;2003-05-22 00:00:00;2003-05-21;10.8;Y
2003-05-22 00:00:01;2003-05-23 00:00:00;2003-05-22;11.4;Y
2003-05-23 00:00:01;2003-05-24 00:00:00;2003-05-23;9.5;Y
2003-05-24 00:00:01;2003-05-25 00:00:00;2003-05-24;12.8;Y
2003-05-25 00:00:01;2003-05-26 00:00:00;2003-05-25;18.3;Y
2003-05-26 00:00:01;2003-05-27 00:00:00;2003-05-26;16.0;Y
2003-05-27 00:00:01;2003-05-28 00:00:00;2003-05-27;12.7;Y
2003-05-28 00:00:01;2003-05-29 00:00:00;2003-05-28;12.7;Y
2003-05-29 00:00:01;2003-05-30 00:00:00;2003-05-29;13.6;Y
2003-05-30 00:00:01;2003-05-31 00:00:00;2003-05-30;16.0;Y
2003-05-31 00:00:01;2003-06-01 00:00:00;2003-05-31;14.7;Y
2003-06-01 00:00:01;2003-06-02 00:00:00;2003-06-01;14.1;Y
2003-06-02 00:00:01;2003-06-03 00:00:00;2003-06-02;16.1;Y
2003-06-03 00:00:01;2003-06-04 00:00:00;2003-06-03;17.1;Y
2003-06-04 00:00:01;2003-06-05 00:00:00;2003-06-04;19.5;Y
2003-06-05 00:00:01;2003-06-06 00:00:00;2003-06-05;19.1;Y
2003-06-06 00:00:01;2003-06-07 00:00:00;2003-06-06;16.7;Y
2003-06-07 00:00:01;2003-06-08 00:00:00;2003-06-07;16.7;Y
2003-06-08 00:00:01;2003-06-09 00:00:00;2003-06-08;17.6;Y
2003-06-09 00:00:01;2003-06-10 00:00:00;2003-06-09;15.9;Y
2003-06-10 00:00:01;2003-06-11 00:00:00;2003-06-10;13.7;Y
2003-06-11 00:00:01;2003-06-12 00:00:00;2003-06-11;13.9;Y
2003-06-12 00:00:01;2003-06-13 00:00:00;2003-06-12;14.5;Y
2003-06-13 00:00:01;2003-06-14 00:00:00;2003-06-13;14.9;Y
2003-06-14 00:00:01;2003-06-15 00:00:00;2003-06-14;13.2;Y
2003-06-15 00:00:01;2003-06-16 00:00:00;2003-06-15;11.2;Y
2003-06-16 00:00:01;2003-06-17 00:00:00;2003-06-16;13.1;Y
2003-06-17 00:00:01;2003-06-18 00:00:00;2003-06-17;13.7;Y
2003-06-18 00:00:01;2003-06-19 00:00:00;2003-06-18;17.1;Y
2003-06-19 00:00:01;2003-06-20 00:00:00;2003-06-19;15.0;Y
2003-06-20 00:00:01;2003-06-21 00:00:00;2003-06-20;13.3;Y
2003-06-21 00:00:01;2003-06-22 00:00:00;2003-06-21;13.9;Y
2003-06-22 00:00:01;2003-06-23 00:00:00;2003-06-22;14.9;Y
2003-06-23 00:00:01;2003-06-24 00:00:00;2003-06-23;14.6;Y
2003-06-24 00:00:01;2003-06-25 00:00:00;2003-06-24;14.2;Y
2003-06-25 00:00:01;2003-06-26 00:00:00;2003-06-25;15.6;Y
2003-06-26 00:00:01;2003-06-27 00:00:00;2003-06-26;16.5;Y
2003-06-27 00:00:01;2003-06-28 00:00:00;2003-06-27;17.3;Y
2003-06-28 00:00:01;2003-06-29 00:00:00;2003-06-28;16.8;Y
2003-06-29 00:00:01;2003-06-30 00:00:00;2003-06-29;14.4;Y
2003-06-30 00:00:01;2003-07-01 00:00:00;2003-06-30;15.3;Y
2003-07-01 00:00:01;2003-07-02 00:00:00;2003-07-01;13.1;Y
2003-07-02 00:00:01;2003-07-03 00:00:00;2003-07-02;14.4;Y
2003-07-03 00:00:01;2003-07-04 00:00:00;2003-07-03;15.7;Y
2003-07-04 00:00:01;2003-07-05 00:00:00;2003-07-04;16.8;Y
2003-07-05 00:00:01;2003-07-06 00:00:00;2003-07-05;17.0;Y
2003-07-06 00:00:01;2003-07-07 00:00:00;2003-07-06;17.5;Y
2003-07-07 00:00:01;2003-07-08 00:00:00;2003-07-07;16.1;Y
2003-07-08 00:00:01;2003-07-09 00:00:00;2003-07-08;16.5;Y
2003-07-09 00:00:01;2003-07-10 00:00:00;2003-07-09;17.3;Y
2003-07-10 00:00:01;2003-07-11 00:00:00;2003-07-10;16.8;Y
2003-07-11 00:00:01;2003-07-12 00:00:00;2003-07-11;17.6;Y
2003-07-12 00:00:01;2003-07-13 00:00:00;2003-07-12;15.8;Y
2003-07-13 00:00:01;2003-07-14 00:00:00;2003-07-13;18.1;Y
2003-07-14 00:00:01;2003-07-15 00:00:00;2003-07-14;20.6;Y
2003-07-15 00:00:01;2003-07-16 00:00:00;2003-07-15;20.8;Y
2003-07-16 00:00:01;2003-07-17 00:00:00;2003-07-16;22.2;Y
2003-07-17 00:00:01;2003-07-18 00:00:00;2003-07-17;22.4;Y
2003-07-18 00:00:01;2003-07-19 00:00:00;2003-07-18;21.5;Y
2003-07-19 00:00:01;2003-07-20 00:00:00;2003-07-19;20.6;Y
2003-07-20 00:00:01;2003-07-21 00:00:00;2003-07-20;19.5;Y
2003-07-21 00:00:01;2003-07-22 00:00:00;2003-07-21;21.2;Y
2003-07-22 00:00:01;2003-07-23 00:00:00;2003-07-22;19.8;Y
2003-07-23 00:00:01;2003-07-24 00:00:00;2003-07-23;19.1;Y
2003-07-24 00:00:01;2003-07-25 00:00:00;2003-07-24;18.7;Y
2003-07-25 00:00:01;2003-07-26 00:00:00;2003-07-25;19.3;Y
2003-07-26 00:00:01;2003-07-27 00:00:00;2003-07-26;18.0;Y
2003-07-27 00:00:01;2003-07-28 00:00:00;2003-07-27;18.4;Y
2003-07-28 00:00:01;2003-07-29 00:00:00;2003-07-28;19.9;Y
2003-07-29 00:00:01;2003-07-30 00:00:00;2003-07-29;18.1;Y
2003-07-30 00:00:01;2003-07-31 00:00:00;2003-07-30;18.2;Y
2003-07-31 00:00:01;2003-08-01 00:00:00;2003-07-31;20.2;Y
2003-08-01 00:00:01;2003-08-02 00:00:00;2003-08-01;20.6;Y
2003-08-02 00:00:01;2003-08-03 00:00:00;2003-08-02;19.4;Y
2003-08-03 00:00:01;2003-08-04 00:00:00;2003-08-03;18.5;Y
2003-08-04 00:00:01;2003-08-05 00:00:00;2003-08-04;18.1;Y
2003-08-05 00:00:01;2003-08-06 00:00:00;2003-08-05;17.7;Y
2003-08-06 00:00:01;2003-08-07 00:00:00;2003-08-06;17.8;Y
2003-08-07 00:00:01;2003-08-08 00:00:00;2003-08-07;18.8;Y
2003-08-08 00:00:01;2003-08-09 00:00:00;2003-08-08;18.5;Y
2003-08-09 00:00:01;2003-08-10 00:00:00;2003-08-09;17.8;Y
2003-08-10 00:00:01;2003-08-11 00:00:00;2003-08-10;17.9;Y
2003-08-11 00:00:01;2003-08-12 00:00:00;2003-08-11;20.3;Y
2003-08-12 00:00:01;2003-08-13 00:00:00;2003-08-12;21.4;Y
2003-08-13 00:00:01;2003-08-14 00:00:00;2003-08-13;19.8;Y
2003-08-14 00:00:01;2003-08-15 00:00:00;2003-08-14;16.1;Y
2003-08-15 00:00:01;2003-08-16 00:00:00;2003-08-15;14.9;Y
2003-08-16 00:00:01;2003-08-17 00:00:00;2003-08-16;15.1;Y
2003-08-17 00:00:01;2003-08-18 00:00:00;2003-08-17;16.8;Y
2003-08-18 00:00:01;2003-08-19 00:00:00;2003-08-18;17.6;Y
2003-08-19 00:00:01;2003-08-20 00:00:00;2003-08-19;16.7;Y
2003-08-20 00:00:01;2003-08-21 00:00:00;2003-08-20;16.6;Y
2003-08-21 00:00:01;2003-08-22 00:00:00;2003-08-21;16.4;Y
2003-08-22 00:00:01;2003-08-23 00:00:00;2003-08-22;15.2;Y
2003-08-23 00:00:01;2003-08-24 00:00:00;2003-08-23;16.5;Y
2003-08-24 00:00:01;2003-08-25 00:00:00;2003-08-24;16.5;Y
2003-08-25 00:00:01;2003-08-26 00:00:00;2003-08-25;13.7;Y
2003-08-26 00:00:01;2003-08-27 00:00:00;2003-08-26;13.5;Y
2003-08-27 00:00:01;2003-08-28 00:00:00;2003-08-27;9.6;Y
2003-08-28 00:00:01;2003-08-29 00:00:00;2003-08-28;10.9;Y
2003-08-29 00:00:01;2003-08-30 00:00:00;2003-08-29;12.4;Y
2003-08-30 00:00:01;2003-08-31 00:00:00;2003-08-30;11.4;Y
2003-08-31 00:00:01;2003-09-01 00:00:00;2003-08-31;11.8;Y
2003-09-01 00:00:01;2003-09-02 00:00:00;2003-09-01;8.9;Y
2003-09-02 00:00:01;2003-09-03 00:00:00;2003-09-02;9.3;Y
2003-09-03 00:00:01;2003-09-04 00:00:00;2003-09-03;12.8;Y
2003-09-04 00:00:01;2003-09-05 00:00:00;2003-09-04;14.3;Y
2003-09-05 00:00:01;2003-09-06 00:00:00;2003-09-05;14.8;Y
2003-09-06 00:00:01;2003-09-07 00:00:00;2003-09-06;15.1;Y
2003-09-07 00:00:01;2003-09-08 00:00:00;2003-09-07;15.2;Y
2003-09-08 00:00:01;2003-09-09 00:00:00;2003-09-08;14.6;Y
2003-09-09 00:00:01;2003-09-10 00:00:00;2003-09-09;15.3;Y
2003-09-10 00:00:01;2003-09-11 00:00:00;2003-09-10;14.2;Y
2003-09-11 00:00:01;2003-09-12 00:00:00;2003-09-11;13.9;Y
2003-09-12 00:00:01;2003-09-13 00:00:00;2003-09-12;14.5;Y
2003-09-13 00:00:01;2003-09-14 00:00:00;2003-09-13;12.8;Y
2003-09-14 00:00:01;2003-09-15 00:00:00;2003-09-14;14.2;Y
2003-09-15 00:00:01;2003-09-16 00:00:00;2003-09-15;16.3;Y
2003-09-16 00:00:01;2003-09-17 00:00:00;2003-09-16;15.0;Y
2003-09-17 00:00:01;2003-09-18 00:00:00;2003-09-17;13.2;Y
2003-09-18 00:00:01;2003-09-19 00:00:00;2003-09-18;17.5;Y
2003-09-19 00:00:01;2003-09-20 00:00:00;2003-09-19;16.6;Y
2003-09-20 00:00:01;2003-09-21 00:00:00;2003-09-20;10.4;Y
2003-09-21 00:00:01;2003-09-22 00:00:00;2003-09-21;14.8;Y
2003-09-22 00:00:01;2003-09-23 00:00:00;2003-09-22;17.3;Y
2003-09-23 00:00:01;2003-09-24 00:00:00;2003-09-23;13.0;Y
2003-09-24 00:00:01;2003-09-25 00:00:00;2003-09-24;8.4;Y
2003-09-25 00:00:01;2003-09-26 00:00:00;2003-09-25;12.6;Y
2003-09-26 00:00:01;2003-09-27 00:00:00;2003-09-26;13.9;Y
2003-09-27 00:00:01;2003-09-28 00:00:00;2003-09-27;10.2;Y
2003-09-28 00:00:01;2003-09-29 00:00:00;2003-09-28;5.1;Y
2003-09-29 00:00:01;2003-09-30 00:00:00;2003-09-29;4.9;Y
2003-09-30 00:00:01;2003-10-01 00:00:00;2003-09-30;5.3;Y
2003-10-01 00:00:01;2003-10-02 00:00:00;2003-10-01;9.1;Y
2003-10-02 00:00:01;2003-10-03 00:00:00;2003-10-02;9.1;Y
2003-10-03 00:00:01;2003-10-04 00:00:00;2003-10-03;8.5;Y
2003-10-04 00:00:01;2003-10-05 00:00:00;2003-10-04;9.7;Y
2003-10-05 00:00:01;2003-10-06 00:00:00;2003-10-05;7.4;Y
2003-10-06 00:00:01;2003-10-07 00:00:00;2003-10-06;6.2;Y
2003-10-07 00:00:01;2003-10-08 00:00:00;2003-10-07;7.0;Y
2003-10-08 00:00:01;2003-10-09 00:00:00;2003-10-08;5.9;Y
2003-10-09 00:00:01;2003-10-10 00:00:00;2003-10-09;7.5;Y
2003-10-10 00:00:01;2003-10-11 00:00:00;2003-10-10;8.5;Y
2003-10-11 00:00:01;2003-10-12 00:00:00;2003-10-11;8.6;Y
2003-10-12 00:00:01;2003-10-13 00:00:00;2003-10-12;7.3;Y
2003-10-13 00:00:01;2003-10-14 00:00:00;2003-10-13;3.8;Y
2003-10-14 00:00:01;2003-10-15 00:00:00;2003-10-14;2.7;Y
2003-10-15 00:00:01;2003-10-16 00:00:00;2003-10-15;2.5;Y
2003-10-16 00:00:01;2003-10-17 00:00:00;2003-10-16;3.1;Y
2003-10-17 00:00:01;2003-10-18 00:00:00;2003-10-17;4.4;Y
2003-10-18 00:00:01;2003-10-19 00:00:00;2003-10-18;3.9;Y
2003-10-19 00:00:01;2003-10-20 00:00:00;2003-10-19;-0.8;Y
2003-10-20 00:00:01;2003-10-21 00:00:00;2003-10-20;-0.8;Y
2003-10-21 00:00:01;2003-10-22 00:00:00;2003-10-21;-0.2;Y
2003-10-22 00:00:01;2003-10-23 00:00:00;2003-10-22;-3.2;Y
2003-10-23 00:00:01;2003-10-24 00:00:00;2003-10-23;-6.0;Y
2003-10-24 00:00:01;2003-10-25 00:00:00;2003-10-24;-1.4;Y
2003-10-25 00:00:01;2003-10-26 00:00:00;2003-10-25;0.3;Y
2003-10-26 00:00:01;2003-10-27 00:00:00;2003-10-26;-3.7;Y
2003-10-27 00:00:01;2003-10-28 00:00:00;2003-10-27;1.6;Y
2003-10-28 00:00:01;2003-10-29 00:00:00;2003-10-28;7.9;Y
2003-10-29 00:00:01;2003-10-30 00:00:00;2003-10-29;4.4;Y
2003-10-30 00:00:01;2003-10-31 00:00:00;2003-10-30;2.3;Y
2003-10-31 00:00:01;2003-11-01 00:00:00;2003-10-31;4.5;Y
2003-11-01 00:00:01;2003-11-02 00:00:00;2003-11-01;6.3;Y
2003-11-02 00:00:01;2003-11-03 00:00:00;2003-11-02;7.7;Y
2003-11-03 00:00:01;2003-11-04 00:00:00;2003-11-03;7.8;Y
2003-11-04 00:00:01;2003-11-05 00:00:00;2003-11-04;6.3;Y
2003-11-05 00:00:01;2003-11-06 00:00:00;2003-11-05;7.0;Y
2003-11-06 00:00:01;2003-11-07 00:00:00;2003-11-06;5.9;Y
2003-11-07 00:00:01;2003-11-08 00:00:00;2003-11-07;1.4;Y
2003-11-08 00:00:01;2003-11-09 00:00:00;2003-11-08;2.1;Y
2003-11-09 00:00:01;2003-11-10 00:00:00;2003-11-09;3.2;Y
2003-11-10 00:00:01;2003-11-11 00:00:00;2003-11-10;3.9;Y
2003-11-11 00:00:01;2003-11-12 00:00:00;2003-11-11;2.5;Y
2003-11-12 00:00:01;2003-11-13 00:00:00;2003-11-12;-1.6;Y
2003-11-13 00:00:01;2003-11-14 00:00:00;2003-11-13;0.4;Y
2003-11-14 00:00:01;2003-11-15 00:00:00;2003-11-14;3.4;Y
2003-11-15 00:00:01;2003-11-16 00:00:00;2003-11-15;3.0;Y
2003-11-16 00:00:01;2003-11-17 00:00:00;2003-11-16;6.7;Y
2003-11-17 00:00:01;2003-11-18 00:00:00;2003-11-17;4.3;Y
2003-11-18 00:00:01;2003-11-19 00:00:00;2003-11-18;3.1;Y
2003-11-19 00:00:01;2003-11-20 00:00:00;2003-11-19;6.2;Y
2003-11-20 00:00:01;2003-11-21 00:00:00;2003-11-20;2.3;Y
2003-11-21 00:00:01;2003-11-22 00:00:00;2003-11-21;4.2;Y
2003-11-22 00:00:01;2003-11-23 00:00:00;2003-11-22;3.9;Y
2003-11-23 00:00:01;2003-11-24 00:00:00;2003-11-23;2.3;Y
2003-11-24 00:00:01;2003-11-25 00:00:00;2003-11-24;0.4;Y
2003-11-25 00:00:01;2003-11-26 00:00:00;2003-11-25;0.4;Y
2003-11-26 00:00:01;2003-11-27 00:00:00;2003-11-26;3.3;Y
2003-11-27 00:00:01;2003-11-28 00:00:00;2003-11-27;5.7;Y
2003-11-28 00:00:01;2003-11-29 00:00:00;2003-11-28;5.9;Y
2003-11-29 00:00:01;2003-11-30 00:00:00;2003-11-29;1.4;Y
2003-11-30 00:00:01;2003-12-01 00:00:00;2003-11-30;5.3;Y
2003-12-01 00:00:01;2003-12-02 00:00:00;2003-12-01;5.7;Y
2003-12-02 00:00:01;2003-12-03 00:00:00;2003-12-02;5.3;Y
2003-12-03 00:00:01;2003-12-04 00:00:00;2003-12-03;4.0;Y
2003-12-04 00:00:01;2003-12-05 00:00:00;2003-12-04;4.5;Y
2003-12-05 00:00:01;2003-12-06 00:00:00;2003-12-05;3.6;Y
2003-12-06 00:00:01;2003-12-07 00:00:00;2003-12-06;-1.5;Y
2003-12-07 00:00:01;2003-12-08 00:00:00;2003-12-07;0.1;Y
2003-12-08 00:00:01;2003-12-09 00:00:00;2003-12-08;1.2;Y
2003-12-09 00:00:01;2003-12-10 00:00:00;2003-12-09;3.6;Y
2003-12-10 00:00:01;2003-12-11 00:00:00;2003-12-10;0.5;Y
2003-12-11 00:00:01;2003-12-12 00:00:00;2003-12-11;2.3;Y
2003-12-12 00:00:01;2003-12-13 00:00:00;2003-12-12;-0.9;Y
2003-12-13 00:00:01;2003-12-14 00:00:00;2003-12-13;-0.9;Y
2003-12-14 00:00:01;2003-12-15 00:00:00;2003-12-14;2.4;Y
2003-12-15 00:00:01;2003-12-16 00:00:00;2003-12-15;-0.9;Y
2003-12-16 00:00:01;2003-12-17 00:00:00;2003-12-16;-3.4;Y
2003-12-17 00:00:01;2003-12-18 00:00:00;2003-12-17;2.8;Y
2003-12-18 00:00:01;2003-12-19 00:00:00;2003-12-18;5.6;Y
2003-12-19 00:00:01;2003-12-20 00:00:00;2003-12-19;4.6;Y
2003-12-20 00:00:01;2003-12-21 00:00:00;2003-12-20;1.1;Y
2003-12-21 00:00:01;2003-12-22 00:00:00;2003-12-21;-0.1;Y
2003-12-22 00:00:01;2003-12-23 00:00:00;2003-12-22;-7.1;Y
2003-12-23 00:00:01;2003-12-24 00:00:00;2003-12-23;-9.7;Y
2003-12-24 00:00:01;2003-12-25 00:00:00;2003-12-24;0.6;Y
2003-12-25 00:00:01;2003-12-26 00:00:00;2003-12-25;7.3;Y
2003-12-26 00:00:01;2003-12-27 00:00:00;2003-12-26;6.2;Y
2003-12-27 00:00:01;2003-12-28 00:00:00;2003-12-27;4.5;Y
2003-12-28 00:00:01;2003-12-29 00:00:00;2003-12-28;3.4;Y
2003-12-29 00:00:01;2003-12-30 00:00:00;2003-12-29;-1.3;Y
2003-12-30 00:00:01;2003-12-31 00:00:00;2003-12-30;-3.9;Y
2003-12-31 00:00:01;2004-01-01 00:00:00;2003-12-31;-5.3;Y
2004-01-01 00:00:01;2004-01-02 00:00:00;2004-01-01;-5.2;Y
2004-01-02 00:00:01;2004-01-03 00:00:00;2004-01-02;-10.0;Y
2004-01-03 00:00:01;2004-01-04 00:00:00;2004-01-03;-9.6;Y
2004-01-04 00:00:01;2004-01-05 00:00:00;2004-01-04;-5.3;Y
2004-01-05 00:00:01;2004-01-06 00:00:00;2004-01-05;-6.9;Y
2004-01-06 00:00:01;2004-01-07 00:00:00;2004-01-06;-6.3;Y
2004-01-07 00:00:01;2004-01-08 00:00:00;2004-01-07;-1.0;Y
2004-01-08 00:00:01;2004-01-09 00:00:00;2004-01-08;0.3;Y
2004-01-09 00:00:01;2004-01-10 00:00:00;2004-01-09;-1.9;Y
2004-01-10 00:00:01;2004-01-11 00:00:00;2004-01-10;-4.4;Y
2004-01-11 00:00:01;2004-01-12 00:00:00;2004-01-11;-3.5;Y
2004-01-12 00:00:01;2004-01-13 00:00:00;2004-01-12;0.9;Y
2004-01-13 00:00:01;2004-01-14 00:00:00;2004-01-13;1.6;Y
2004-01-14 00:00:01;2004-01-15 00:00:00;2004-01-14;-0.0;Y
2004-01-15 00:00:01;2004-01-16 00:00:00;2004-01-15;-2.0;Y
2004-01-16 00:00:01;2004-01-17 00:00:00;2004-01-16;-2.6;Y
2004-01-17 00:00:01;2004-01-18 00:00:00;2004-01-17;-5.2;Y
2004-01-18 00:00:01;2004-01-19 00:00:00;2004-01-18;-5.0;Y
2004-01-19 00:00:01;2004-01-20 00:00:00;2004-01-19;-1.2;Y
2004-01-20 00:00:01;2004-01-21 00:00:00;2004-01-20;-5.7;Y
2004-01-21 00:00:01;2004-01-22 00:00:00;2004-01-21;-15.5;Y
2004-01-22 00:00:01;2004-01-23 00:00:00;2004-01-22;-16.9;Y
2004-01-23 00:00:01;2004-01-24 00:00:00;2004-01-23;-6.1;Y
2004-01-24 00:00:01;2004-01-25 00:00:00;2004-01-24;-2.3;Y
2004-01-25 00:00:01;2004-01-26 00:00:00;2004-01-25;-8.9;Y
2004-01-26 00:00:01;2004-01-27 00:00:00;2004-01-26;-6.6;Y
2004-01-27 00:00:01;2004-01-28 00:00:00;2004-01-27;-6.8;Y
2004-01-28 00:00:01;2004-01-29 00:00:00;2004-01-28;-5.6;Y
2004-01-29 00:00:01;2004-01-30 00:00:00;2004-01-29;-3.1;Y
2004-01-30 00:00:01;2004-01-31 00:00:00;2004-01-30;-4.1;Y
2004-01-31 00:00:01;2004-02-01 00:00:00;2004-01-31;0.3;Y
2004-02-01 00:00:01;2004-02-02 00:00:00;2004-02-01;-2.6;Y
2004-02-02 00:00:01;2004-02-03 00:00:00;2004-02-02;-5.3;Y
2004-02-03 00:00:01;2004-02-04 00:00:00;2004-02-03;2.8;Y
2004-02-04 00:00:01;2004-02-05 00:00:00;2004-02-04;5.3;Y
2004-02-05 00:00:01;2004-02-06 00:00:00;2004-02-05;4.3;Y
2004-02-06 00:00:01;2004-02-07 00:00:00;2004-02-06;4.7;Y
2004-02-07 00:00:01;2004-02-08 00:00:00;2004-02-07;1.1;Y
2004-02-08 00:00:01;2004-02-09 00:00:00;2004-02-08;-0.6;Y
2004-02-09 00:00:01;2004-02-10 00:00:00;2004-02-09;-6.3;Y
2004-02-10 00:00:01;2004-02-11 00:00:00;2004-02-10;-3.6;Y
2004-02-11 00:00:01;2004-02-12 00:00:00;2004-02-11;-12.1;Y
2004-02-12 00:00:01;2004-02-13 00:00:00;2004-02-12;-6.0;Y
