Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Kvarntorp;95660;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1962-01-01 06:00:00;60.0;59.1164;15.2636

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-01-23 00:00:01;1961-01-24 00:00:00;1961-01-23;-6.9;Y
1961-01-24 00:00:01;1961-01-25 00:00:00;1961-01-24;-7.0;Y
1961-01-25 00:00:01;1961-01-26 00:00:00;1961-01-25;-13.7;Y
1961-01-26 00:00:01;1961-01-27 00:00:00;1961-01-26;-10.4;Y
1961-01-27 00:00:01;1961-01-28 00:00:00;1961-01-27;-4.2;Y
1961-01-28 00:00:01;1961-01-29 00:00:00;1961-01-28;1.0;Y
1961-01-29 00:00:01;1961-01-30 00:00:00;1961-01-29;1.5;Y
1961-01-30 00:00:01;1961-01-31 00:00:00;1961-01-30;2.7;Y
1961-01-31 00:00:01;1961-02-01 00:00:00;1961-01-31;2.7;Y
1961-02-01 00:00:01;1961-02-02 00:00:00;1961-02-01;2.3;Y
1961-02-02 00:00:01;1961-02-03 00:00:00;1961-02-02;0.8;Y
1961-02-03 00:00:01;1961-02-04 00:00:00;1961-02-03;-2.6;Y
1961-02-04 00:00:01;1961-02-05 00:00:00;1961-02-04;-6.9;Y
1961-02-05 00:00:01;1961-02-06 00:00:00;1961-02-05;-9.3;Y
1961-02-06 00:00:01;1961-02-07 00:00:00;1961-02-06;-1.9;Y
1961-02-07 00:00:01;1961-02-08 00:00:00;1961-02-07;1.9;Y
1961-02-08 00:00:01;1961-02-09 00:00:00;1961-02-08;-0.3;Y
1961-02-09 00:00:01;1961-02-10 00:00:00;1961-02-09;-2.8;Y
1961-02-10 00:00:01;1961-02-11 00:00:00;1961-02-10;-0.8;Y
1961-02-11 00:00:01;1961-02-12 00:00:00;1961-02-11;2.9;Y
1961-02-12 00:00:01;1961-02-13 00:00:00;1961-02-12;0.6;Y
1961-02-13 00:00:01;1961-02-14 00:00:00;1961-02-13;-0.4;Y
1961-02-14 00:00:01;1961-02-15 00:00:00;1961-02-14;5.1;Y
1961-02-15 00:00:01;1961-02-16 00:00:00;1961-02-15;4.1;Y
1961-02-16 00:00:01;1961-02-17 00:00:00;1961-02-16;3.5;Y
1961-02-17 00:00:01;1961-02-18 00:00:00;1961-02-17;4.7;Y
1961-02-18 00:00:01;1961-02-19 00:00:00;1961-02-18;3.2;Y
1961-02-19 00:00:01;1961-02-20 00:00:00;1961-02-19;2.1;Y
1961-02-20 00:00:01;1961-02-21 00:00:00;1961-02-20;3.7;Y
1961-02-21 00:00:01;1961-02-22 00:00:00;1961-02-21;4.2;Y
1961-02-22 00:00:01;1961-02-23 00:00:00;1961-02-22;0.0;Y
1961-02-23 00:00:01;1961-02-24 00:00:00;1961-02-23;-1.0;Y
1961-02-24 00:00:01;1961-02-25 00:00:00;1961-02-24;-2.2;Y
1961-02-25 00:00:01;1961-02-26 00:00:00;1961-02-25;1.7;Y
1961-02-26 00:00:01;1961-02-27 00:00:00;1961-02-26;2.2;Y
1961-02-27 00:00:01;1961-02-28 00:00:00;1961-02-27;5.7;Y
1961-02-28 00:00:01;1961-03-01 00:00:00;1961-02-28;3.6;Y
1961-03-01 00:00:01;1961-03-02 00:00:00;1961-03-01;1.5;Y
1961-03-02 00:00:01;1961-03-03 00:00:00;1961-03-02;3.1;Y
1961-03-03 00:00:01;1961-03-04 00:00:00;1961-03-03;5.7;Y
1961-03-04 00:00:01;1961-03-05 00:00:00;1961-03-04;5.9;Y
1961-03-05 00:00:01;1961-03-06 00:00:00;1961-03-05;5.0;Y
1961-03-06 00:00:01;1961-03-07 00:00:00;1961-03-06;5.8;Y
1961-03-07 00:00:01;1961-03-08 00:00:00;1961-03-07;7.8;Y
1961-03-08 00:00:01;1961-03-09 00:00:00;1961-03-08;5.7;Y
1961-03-09 00:00:01;1961-03-10 00:00:00;1961-03-09;8.0;Y
1961-03-10 00:00:01;1961-03-11 00:00:00;1961-03-10;5.9;Y
1961-03-11 00:00:01;1961-03-12 00:00:00;1961-03-11;6.6;Y
1961-03-12 00:00:01;1961-03-13 00:00:00;1961-03-12;6.5;Y
1961-03-13 00:00:01;1961-03-14 00:00:00;1961-03-13;2.9;Y
1961-03-14 00:00:01;1961-03-15 00:00:00;1961-03-14;4.9;Y
1961-03-15 00:00:01;1961-03-16 00:00:00;1961-03-15;5.2;Y
1961-03-16 00:00:01;1961-03-17 00:00:00;1961-03-16;9.0;Y
1961-03-17 00:00:01;1961-03-18 00:00:00;1961-03-17;7.4;Y
1961-03-18 00:00:01;1961-03-19 00:00:00;1961-03-18;3.2;Y
1961-03-19 00:00:01;1961-03-20 00:00:00;1961-03-19;-1.2;Y
1961-03-20 00:00:01;1961-03-21 00:00:00;1961-03-20;-0.4;Y
1961-03-21 00:00:01;1961-03-22 00:00:00;1961-03-21;-0.9;Y
1961-03-22 00:00:01;1961-03-23 00:00:00;1961-03-22;0.9;Y
1961-03-23 00:00:01;1961-03-24 00:00:00;1961-03-23;6.2;Y
1961-03-24 00:00:01;1961-03-25 00:00:00;1961-03-24;6.1;Y
1961-03-25 00:00:01;1961-03-26 00:00:00;1961-03-25;5.1;Y
1961-03-26 00:00:01;1961-03-27 00:00:00;1961-03-26;6.0;Y
1961-03-27 00:00:01;1961-03-28 00:00:00;1961-03-27;2.8;Y
1961-03-28 00:00:01;1961-03-29 00:00:00;1961-03-28;2.7;Y
1961-03-29 00:00:01;1961-03-30 00:00:00;1961-03-29;1.2;Y
1961-03-30 00:00:01;1961-03-31 00:00:00;1961-03-30;0.2;Y
1961-03-31 00:00:01;1961-04-01 00:00:00;1961-03-31;-0.1;Y
1961-04-01 00:00:01;1961-04-02 00:00:00;1961-04-01;0.5;Y
1961-04-02 00:00:01;1961-04-03 00:00:00;1961-04-02;0.8;Y
1961-04-03 00:00:01;1961-04-04 00:00:00;1961-04-03;0.8;Y
1961-04-04 00:00:01;1961-04-05 00:00:00;1961-04-04;-0.3;Y
1961-04-05 00:00:01;1961-04-06 00:00:00;1961-04-05;0.4;Y
1961-04-06 00:00:01;1961-04-07 00:00:00;1961-04-06;1.4;Y
1961-04-07 00:00:01;1961-04-08 00:00:00;1961-04-07;1.3;Y
1961-04-08 00:00:01;1961-04-09 00:00:00;1961-04-08;1.7;Y
1961-04-09 00:00:01;1961-04-10 00:00:00;1961-04-09;2.6;Y
1961-04-10 00:00:01;1961-04-11 00:00:00;1961-04-10;3.7;Y
1961-04-11 00:00:01;1961-04-12 00:00:00;1961-04-11;3.9;Y
1961-04-12 00:00:01;1961-04-13 00:00:00;1961-04-12;4.4;Y
1961-04-13 00:00:01;1961-04-14 00:00:00;1961-04-13;7.4;Y
1961-04-14 00:00:01;1961-04-15 00:00:00;1961-04-14;10.3;Y
1961-04-15 00:00:01;1961-04-16 00:00:00;1961-04-15;10.0;Y
1961-04-16 00:00:01;1961-04-17 00:00:00;1961-04-16;9.9;Y
1961-04-17 00:00:01;1961-04-18 00:00:00;1961-04-17;11.5;Y
1961-04-18 00:00:01;1961-04-19 00:00:00;1961-04-18;9.2;Y
1961-04-19 00:00:01;1961-04-20 00:00:00;1961-04-19;7.1;Y
1961-04-20 00:00:01;1961-04-21 00:00:00;1961-04-20;6.3;Y
1961-04-21 00:00:01;1961-04-22 00:00:00;1961-04-21;7.8;Y
1961-04-22 00:00:01;1961-04-23 00:00:00;1961-04-22;8.4;Y
1961-04-23 00:00:01;1961-04-24 00:00:00;1961-04-23;11.6;Y
1961-04-24 00:00:01;1961-04-25 00:00:00;1961-04-24;11.0;Y
1961-04-25 00:00:01;1961-04-26 00:00:00;1961-04-25;12.7;Y
1961-04-26 00:00:01;1961-04-27 00:00:00;1961-04-26;12.8;Y
1961-04-27 00:00:01;1961-04-28 00:00:00;1961-04-27;11.8;Y
1961-04-28 00:00:01;1961-04-29 00:00:00;1961-04-28;6.2;Y
1961-04-29 00:00:01;1961-04-30 00:00:00;1961-04-29;6.0;Y
1961-04-30 00:00:01;1961-05-01 00:00:00;1961-04-30;8.5;Y
1961-05-01 00:00:01;1961-05-02 00:00:00;1961-05-01;8.1;Y
1961-05-02 00:00:01;1961-05-03 00:00:00;1961-05-02;8.5;Y
1961-05-03 00:00:01;1961-05-04 00:00:00;1961-05-03;8.4;Y
1961-05-04 00:00:01;1961-05-05 00:00:00;1961-05-04;10.5;Y
1961-05-05 00:00:01;1961-05-06 00:00:00;1961-05-05;9.1;Y
1961-05-06 00:00:01;1961-05-07 00:00:00;1961-05-06;9.8;Y
1961-05-07 00:00:01;1961-05-08 00:00:00;1961-05-07;9.7;Y
1961-05-08 00:00:01;1961-05-09 00:00:00;1961-05-08;9.3;Y
1961-05-09 00:00:01;1961-05-10 00:00:00;1961-05-09;6.2;Y
1961-05-10 00:00:01;1961-05-11 00:00:00;1961-05-10;6.9;Y
1961-05-11 00:00:01;1961-05-12 00:00:00;1961-05-11;8.3;Y
1961-05-12 00:00:01;1961-05-13 00:00:00;1961-05-12;10.2;Y
1961-05-13 00:00:01;1961-05-14 00:00:00;1961-05-13;9.3;Y
1961-05-14 00:00:01;1961-05-15 00:00:00;1961-05-14;7.9;Y
1961-05-15 00:00:01;1961-05-16 00:00:00;1961-05-15;10.7;Y
1961-05-16 00:00:01;1961-05-17 00:00:00;1961-05-16;11.6;Y
1961-05-17 00:00:01;1961-05-18 00:00:00;1961-05-17;12.9;Y
1961-05-18 00:00:01;1961-05-19 00:00:00;1961-05-18;12.1;Y
1961-05-19 00:00:01;1961-05-20 00:00:00;1961-05-19;10.3;Y
1961-05-20 00:00:01;1961-05-21 00:00:00;1961-05-20;7.6;Y
1961-05-21 00:00:01;1961-05-22 00:00:00;1961-05-21;10.9;Y
1961-05-22 00:00:01;1961-05-23 00:00:00;1961-05-22;12.6;Y
1961-05-23 00:00:01;1961-05-24 00:00:00;1961-05-23;11.1;Y
1961-05-24 00:00:01;1961-05-25 00:00:00;1961-05-24;12.3;Y
1961-05-25 00:00:01;1961-05-26 00:00:00;1961-05-25;12.0;Y
1961-05-26 00:00:01;1961-05-27 00:00:00;1961-05-26;12.4;Y
1961-05-27 00:00:01;1961-05-28 00:00:00;1961-05-27;10.8;Y
1961-05-28 00:00:01;1961-05-29 00:00:00;1961-05-28;10.1;Y
1961-05-29 00:00:01;1961-05-30 00:00:00;1961-05-29;8.9;Y
1961-05-30 00:00:01;1961-05-31 00:00:00;1961-05-30;13.8;Y
1961-05-31 00:00:01;1961-06-01 00:00:00;1961-05-31;15.1;Y
1961-06-01 00:00:01;1961-06-02 00:00:00;1961-06-01;15.5;Y
1961-06-02 00:00:01;1961-06-03 00:00:00;1961-06-02;17.7;Y
1961-06-03 00:00:01;1961-06-04 00:00:00;1961-06-03;20.6;Y
1961-06-04 00:00:01;1961-06-05 00:00:00;1961-06-04;21.3;Y
1961-06-05 00:00:01;1961-06-06 00:00:00;1961-06-05;21.3;Y
1961-06-06 00:00:01;1961-06-07 00:00:00;1961-06-06;20.1;Y
1961-06-07 00:00:01;1961-06-08 00:00:00;1961-06-07;22.2;Y
1961-06-08 00:00:01;1961-06-09 00:00:00;1961-06-08;20.8;Y
1961-06-09 00:00:01;1961-06-10 00:00:00;1961-06-09;19.5;Y
1961-06-10 00:00:01;1961-06-11 00:00:00;1961-06-10;14.0;Y
1961-06-11 00:00:01;1961-06-12 00:00:00;1961-06-11;16.6;Y
1961-06-12 00:00:01;1961-06-13 00:00:00;1961-06-12;17.8;Y
1961-06-13 00:00:01;1961-06-14 00:00:00;1961-06-13;16.5;Y
1961-06-14 00:00:01;1961-06-15 00:00:00;1961-06-14;16.0;Y
1961-06-15 00:00:01;1961-06-16 00:00:00;1961-06-15;15.3;Y
1961-06-16 00:00:01;1961-06-17 00:00:00;1961-06-16;15.5;Y
1961-06-17 00:00:01;1961-06-18 00:00:00;1961-06-17;16.0;Y
1961-06-18 00:00:01;1961-06-19 00:00:00;1961-06-18;16.0;Y
1961-06-19 00:00:01;1961-06-20 00:00:00;1961-06-19;14.7;Y
1961-06-20 00:00:01;1961-06-21 00:00:00;1961-06-20;14.4;Y
1961-06-21 00:00:01;1961-06-22 00:00:00;1961-06-21;15.0;Y
1961-06-22 00:00:01;1961-06-23 00:00:00;1961-06-22;13.9;Y
1961-06-23 00:00:01;1961-06-24 00:00:00;1961-06-23;13.7;Y
1961-06-24 00:00:01;1961-06-25 00:00:00;1961-06-24;13.6;Y
1961-06-25 00:00:01;1961-06-26 00:00:00;1961-06-25;14.3;Y
1961-06-26 00:00:01;1961-06-27 00:00:00;1961-06-26;15.6;Y
1961-06-27 00:00:01;1961-06-28 00:00:00;1961-06-27;13.9;Y
1961-06-28 00:00:01;1961-06-29 00:00:00;1961-06-28;14.3;Y
1961-06-29 00:00:01;1961-06-30 00:00:00;1961-06-29;16.0;Y
1961-06-30 00:00:01;1961-07-01 00:00:00;1961-06-30;18.9;Y
1961-07-01 00:00:01;1961-07-02 00:00:00;1961-07-01;19.7;Y
1961-07-02 00:00:01;1961-07-03 00:00:00;1961-07-02;20.5;Y
1961-07-03 00:00:01;1961-07-04 00:00:00;1961-07-03;19.0;Y
1961-07-04 00:00:01;1961-07-05 00:00:00;1961-07-04;14.4;Y
1961-07-05 00:00:01;1961-07-06 00:00:00;1961-07-05;11.5;Y
1961-07-06 00:00:01;1961-07-07 00:00:00;1961-07-06;14.6;Y
1961-07-07 00:00:01;1961-07-08 00:00:00;1961-07-07;15.0;Y
1961-07-08 00:00:01;1961-07-09 00:00:00;1961-07-08;15.3;Y
1961-07-09 00:00:01;1961-07-10 00:00:00;1961-07-09;14.3;Y
1961-07-10 00:00:01;1961-07-11 00:00:00;1961-07-10;15.4;Y
1961-07-11 00:00:01;1961-07-12 00:00:00;1961-07-11;14.5;Y
1961-07-12 00:00:01;1961-07-13 00:00:00;1961-07-12;15.4;Y
1961-07-13 00:00:01;1961-07-14 00:00:00;1961-07-13;17.2;Y
1961-07-14 00:00:01;1961-07-15 00:00:00;1961-07-14;17.5;Y
1961-07-15 00:00:01;1961-07-16 00:00:00;1961-07-15;17.2;Y
1961-07-16 00:00:01;1961-07-17 00:00:00;1961-07-16;18.7;Y
1961-07-17 00:00:01;1961-07-18 00:00:00;1961-07-17;18.1;Y
1961-07-18 00:00:01;1961-07-19 00:00:00;1961-07-18;17.5;Y
1961-07-19 00:00:01;1961-07-20 00:00:00;1961-07-19;16.4;Y
1961-07-20 00:00:01;1961-07-21 00:00:00;1961-07-20;16.6;Y
1961-07-21 00:00:01;1961-07-22 00:00:00;1961-07-21;16.6;Y
1961-07-22 00:00:01;1961-07-23 00:00:00;1961-07-22;15.5;Y
1961-07-23 00:00:01;1961-07-24 00:00:00;1961-07-23;15.1;Y
1961-07-24 00:00:01;1961-07-25 00:00:00;1961-07-24;16.6;Y
1961-07-25 00:00:01;1961-07-26 00:00:00;1961-07-25;15.7;Y
1961-07-26 00:00:01;1961-07-27 00:00:00;1961-07-26;14.1;Y
1961-07-27 00:00:01;1961-07-28 00:00:00;1961-07-27;14.1;Y
1961-07-28 00:00:01;1961-07-29 00:00:00;1961-07-28;14.2;Y
1961-07-29 00:00:01;1961-07-30 00:00:00;1961-07-29;17.5;Y
1961-07-30 00:00:01;1961-07-31 00:00:00;1961-07-30;17.9;Y
1961-07-31 00:00:01;1961-08-01 00:00:00;1961-07-31;17.7;Y
1961-08-01 00:00:01;1961-08-02 00:00:00;1961-08-01;16.3;Y
1961-08-02 00:00:01;1961-08-03 00:00:00;1961-08-02;15.8;Y
1961-08-03 00:00:01;1961-08-04 00:00:00;1961-08-03;15.8;Y
1961-08-04 00:00:01;1961-08-05 00:00:00;1961-08-04;12.7;Y
1961-08-05 00:00:01;1961-08-06 00:00:00;1961-08-05;14.3;Y
1961-08-06 00:00:01;1961-08-07 00:00:00;1961-08-06;15.4;Y
1961-08-07 00:00:01;1961-08-08 00:00:00;1961-08-07;14.9;Y
1961-08-08 00:00:01;1961-08-09 00:00:00;1961-08-08;17.0;Y
1961-08-09 00:00:01;1961-08-10 00:00:00;1961-08-09;16.6;Y
1961-08-10 00:00:01;1961-08-11 00:00:00;1961-08-10;15.7;Y
1961-08-11 00:00:01;1961-08-12 00:00:00;1961-08-11;15.7;Y
1961-08-12 00:00:01;1961-08-13 00:00:00;1961-08-12;14.9;Y
1961-08-13 00:00:01;1961-08-14 00:00:00;1961-08-13;14.2;Y
1961-08-14 00:00:01;1961-08-15 00:00:00;1961-08-14;14.0;Y
1961-08-15 00:00:01;1961-08-16 00:00:00;1961-08-15;13.2;Y
1961-08-16 00:00:01;1961-08-17 00:00:00;1961-08-16;14.3;Y
1961-08-17 00:00:01;1961-08-18 00:00:00;1961-08-17;13.9;Y
1961-08-18 00:00:01;1961-08-19 00:00:00;1961-08-18;14.8;Y
1961-08-19 00:00:01;1961-08-20 00:00:00;1961-08-19;13.7;Y
1961-08-20 00:00:01;1961-08-21 00:00:00;1961-08-20;15.2;Y
1961-08-21 00:00:01;1961-08-22 00:00:00;1961-08-21;12.7;Y
1961-08-22 00:00:01;1961-08-23 00:00:00;1961-08-22;11.7;Y
1961-08-23 00:00:01;1961-08-24 00:00:00;1961-08-23;12.8;Y
1961-08-24 00:00:01;1961-08-25 00:00:00;1961-08-24;14.5;Y
1961-08-25 00:00:01;1961-08-26 00:00:00;1961-08-25;12.5;Y
1961-08-26 00:00:01;1961-08-27 00:00:00;1961-08-26;13.5;Y
1961-08-27 00:00:01;1961-08-28 00:00:00;1961-08-27;15.4;Y
1961-08-28 00:00:01;1961-08-29 00:00:00;1961-08-28;15.9;Y
1961-08-29 00:00:01;1961-08-30 00:00:00;1961-08-29;17.6;Y
1961-08-30 00:00:01;1961-08-31 00:00:00;1961-08-30;18.8;Y
1961-08-31 00:00:01;1961-09-01 00:00:00;1961-08-31;19.0;Y
1961-09-01 00:00:01;1961-09-02 00:00:00;1961-09-01;18.0;Y
1961-09-02 00:00:01;1961-09-03 00:00:00;1961-09-02;16.6;Y
1961-09-03 00:00:01;1961-09-04 00:00:00;1961-09-03;14.4;Y
1961-09-04 00:00:01;1961-09-05 00:00:00;1961-09-04;12.1;Y
1961-09-05 00:00:01;1961-09-06 00:00:00;1961-09-05;13.5;Y
1961-09-06 00:00:01;1961-09-07 00:00:00;1961-09-06;10.8;Y
1961-09-07 00:00:01;1961-09-08 00:00:00;1961-09-07;11.2;Y
1961-09-08 00:00:01;1961-09-09 00:00:00;1961-09-08;13.7;Y
1961-09-09 00:00:01;1961-09-10 00:00:00;1961-09-09;11.8;Y
1961-09-10 00:00:01;1961-09-11 00:00:00;1961-09-10;13.6;Y
1961-09-11 00:00:01;1961-09-12 00:00:00;1961-09-11;12.4;Y
1961-09-12 00:00:01;1961-09-13 00:00:00;1961-09-12;14.6;Y
1961-09-13 00:00:01;1961-09-14 00:00:00;1961-09-13;12.9;Y
1961-09-14 00:00:01;1961-09-15 00:00:00;1961-09-14;12.8;Y
1961-09-15 00:00:01;1961-09-16 00:00:00;1961-09-15;13.8;Y
1961-09-16 00:00:01;1961-09-17 00:00:00;1961-09-16;15.7;Y
1961-09-17 00:00:01;1961-09-18 00:00:00;1961-09-17;18.0;Y
1961-09-18 00:00:01;1961-09-19 00:00:00;1961-09-18;15.3;Y
1961-09-19 00:00:01;1961-09-20 00:00:00;1961-09-19;12.9;Y
1961-09-20 00:00:01;1961-09-21 00:00:00;1961-09-20;11.1;Y
1961-09-21 00:00:01;1961-09-22 00:00:00;1961-09-21;11.2;Y
1961-09-22 00:00:01;1961-09-23 00:00:00;1961-09-22;11.4;Y
1961-09-23 00:00:01;1961-09-24 00:00:00;1961-09-23;11.5;Y
1961-09-24 00:00:01;1961-09-25 00:00:00;1961-09-24;12.2;Y
1961-09-25 00:00:01;1961-09-26 00:00:00;1961-09-25;11.4;Y
1961-09-26 00:00:01;1961-09-27 00:00:00;1961-09-26;11.4;Y
1961-09-27 00:00:01;1961-09-28 00:00:00;1961-09-27;9.4;Y
1961-09-28 00:00:01;1961-09-29 00:00:00;1961-09-28;11.5;Y
1961-09-29 00:00:01;1961-09-30 00:00:00;1961-09-29;14.4;Y
1961-09-30 00:00:01;1961-10-01 00:00:00;1961-09-30;12.6;Y
1961-10-01 00:00:01;1961-10-02 00:00:00;1961-10-01;14.0;Y
1961-10-02 00:00:01;1961-10-03 00:00:00;1961-10-02;10.1;Y
1961-10-03 00:00:01;1961-10-04 00:00:00;1961-10-03;11.2;Y
1961-10-04 00:00:01;1961-10-05 00:00:00;1961-10-04;11.2;Y
1961-10-05 00:00:01;1961-10-06 00:00:00;1961-10-05;13.0;Y
1961-10-06 00:00:01;1961-10-07 00:00:00;1961-10-06;13.2;Y
1961-10-07 00:00:01;1961-10-08 00:00:00;1961-10-07;13.2;Y
1961-10-08 00:00:01;1961-10-09 00:00:00;1961-10-08;10.5;Y
1961-10-09 00:00:01;1961-10-10 00:00:00;1961-10-09;12.0;Y
1961-10-10 00:00:01;1961-10-11 00:00:00;1961-10-10;14.6;Y
1961-10-11 00:00:01;1961-10-12 00:00:00;1961-10-11;16.5;Y
1961-10-12 00:00:01;1961-10-13 00:00:00;1961-10-12;12.1;Y
1961-10-13 00:00:01;1961-10-14 00:00:00;1961-10-13;10.3;Y
1961-10-14 00:00:01;1961-10-15 00:00:00;1961-10-14;12.0;Y
1961-10-15 00:00:01;1961-10-16 00:00:00;1961-10-15;11.7;Y
1961-10-16 00:00:01;1961-10-17 00:00:00;1961-10-16;11.2;Y
1961-10-17 00:00:01;1961-10-18 00:00:00;1961-10-17;8.1;Y
1961-10-18 00:00:01;1961-10-19 00:00:00;1961-10-18;9.3;Y
1961-10-19 00:00:01;1961-10-20 00:00:00;1961-10-19;11.0;Y
1961-10-20 00:00:01;1961-10-21 00:00:00;1961-10-20;12.4;Y
1961-10-21 00:00:01;1961-10-22 00:00:00;1961-10-21;11.1;Y
1961-10-22 00:00:01;1961-10-23 00:00:00;1961-10-22;11.2;Y
1961-10-23 00:00:01;1961-10-24 00:00:00;1961-10-23;8.6;Y
1961-10-24 00:00:01;1961-10-25 00:00:00;1961-10-24;9.2;Y
1961-10-25 00:00:01;1961-10-26 00:00:00;1961-10-25;9.9;Y
1961-10-26 00:00:01;1961-10-27 00:00:00;1961-10-26;8.0;Y
1961-10-27 00:00:01;1961-10-28 00:00:00;1961-10-27;9.1;Y
1961-10-28 00:00:01;1961-10-29 00:00:00;1961-10-28;9.5;Y
1961-10-29 00:00:01;1961-10-30 00:00:00;1961-10-29;9.0;Y
1961-10-30 00:00:01;1961-10-31 00:00:00;1961-10-30;7.1;Y
1961-10-31 00:00:01;1961-11-01 00:00:00;1961-10-31;6.2;Y
1961-11-01 00:00:01;1961-11-02 00:00:00;1961-11-01;3.8;Y
1961-11-02 00:00:01;1961-11-03 00:00:00;1961-11-02;8.4;Y
1961-11-03 00:00:01;1961-11-04 00:00:00;1961-11-03;7.5;Y
1961-11-04 00:00:01;1961-11-05 00:00:00;1961-11-04;3.4;Y
1961-11-05 00:00:01;1961-11-06 00:00:00;1961-11-05;3.3;Y
1961-11-06 00:00:01;1961-11-07 00:00:00;1961-11-06;2.8;Y
1961-11-07 00:00:01;1961-11-08 00:00:00;1961-11-07;0.7;Y
1961-11-08 00:00:01;1961-11-09 00:00:00;1961-11-08;7.6;Y
1961-11-09 00:00:01;1961-11-10 00:00:00;1961-11-09;7.5;Y
1961-11-10 00:00:01;1961-11-11 00:00:00;1961-11-10;7.6;Y
1961-11-11 00:00:01;1961-11-12 00:00:00;1961-11-11;7.1;Y
1961-11-12 00:00:01;1961-11-13 00:00:00;1961-11-12;4.1;Y
1961-11-13 00:00:01;1961-11-14 00:00:00;1961-11-13;0.6;Y
1961-11-14 00:00:01;1961-11-15 00:00:00;1961-11-14;0.3;Y
1961-11-15 00:00:01;1961-11-16 00:00:00;1961-11-15;3.4;Y
1961-11-16 00:00:01;1961-11-17 00:00:00;1961-11-16;2.7;Y
1961-11-17 00:00:01;1961-11-18 00:00:00;1961-11-17;1.9;Y
