Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sandbro;107050;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1959-05-01 00:00:00;1962-11-01 23:59:59;35.0;60.0042;17.5833

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1960-02-26 06:00:01;1960-02-27 06:00:00;1960-02-26;0.0;G
1960-02-27 06:00:01;1960-02-28 06:00:00;1960-02-27;9.5;G
1960-02-28 06:00:01;1960-02-29 06:00:00;1960-02-28;0.0;G
1960-02-29 06:00:01;1960-03-01 06:00:00;1960-02-29;0.0;G
1960-03-01 06:00:01;1960-03-02 06:00:00;1960-03-01;0.0;G
1960-03-02 06:00:01;1960-03-03 06:00:00;1960-03-02;0.0;G
1960-03-03 06:00:01;1960-03-04 06:00:00;1960-03-03;3.5;G
1960-03-04 06:00:01;1960-03-05 06:00:00;1960-03-04;0.0;G
1960-03-05 06:00:01;1960-03-06 06:00:00;1960-03-05;0.0;G
1960-03-06 06:00:01;1960-03-07 06:00:00;1960-03-06;0.0;G
1960-03-07 06:00:01;1960-03-08 06:00:00;1960-03-07;0.0;G
1960-03-08 06:00:01;1960-03-09 06:00:00;1960-03-08;0.0;G
1960-03-09 06:00:01;1960-03-10 06:00:00;1960-03-09;0.0;G
1960-03-10 06:00:01;1960-03-11 06:00:00;1960-03-10;0.0;G
1960-03-11 06:00:01;1960-03-12 06:00:00;1960-03-11;0.0;G
1960-03-12 06:00:01;1960-03-13 06:00:00;1960-03-12;0.0;G
1960-03-13 06:00:01;1960-03-14 06:00:00;1960-03-13;0.0;G
1960-03-14 06:00:01;1960-03-15 06:00:00;1960-03-14;1.9;G
1960-03-15 06:00:01;1960-03-16 06:00:00;1960-03-15;0.0;G
1960-03-16 06:00:01;1960-03-17 06:00:00;1960-03-16;0.0;G
1960-03-17 06:00:01;1960-03-18 06:00:00;1960-03-17;0.0;G
1960-03-18 06:00:01;1960-03-19 06:00:00;1960-03-18;0.0;G
1960-03-19 06:00:01;1960-03-20 06:00:00;1960-03-19;0.0;G
1960-03-20 06:00:01;1960-03-21 06:00:00;1960-03-20;0.0;G
1960-03-21 06:00:01;1960-03-22 06:00:00;1960-03-21;0.0;G
1960-03-22 06:00:01;1960-03-23 06:00:00;1960-03-22;0.0;G
1960-03-23 06:00:01;1960-03-24 06:00:00;1960-03-23;0.0;G
1960-03-24 06:00:01;1960-03-25 06:00:00;1960-03-24;0.0;G
1960-03-25 06:00:01;1960-03-26 06:00:00;1960-03-25;0.0;G
1960-03-26 06:00:01;1960-03-27 06:00:00;1960-03-26;0.0;G
1960-03-27 06:00:01;1960-03-28 06:00:00;1960-03-27;0.0;G
1960-03-28 06:00:01;1960-03-29 06:00:00;1960-03-28;0.0;G
1960-03-29 06:00:01;1960-03-30 06:00:00;1960-03-29;0.0;G
1960-03-30 06:00:01;1960-03-31 06:00:00;1960-03-30;0.0;G
1960-03-31 06:00:01;1960-04-01 06:00:00;1960-03-31;0.0;G
1960-04-01 06:00:01;1960-04-02 06:00:00;1960-04-01;0.0;G
1960-04-02 06:00:01;1960-04-03 06:00:00;1960-04-02;0.0;G
1960-04-03 06:00:01;1960-04-04 06:00:00;1960-04-03;0.0;G
1960-04-04 06:00:01;1960-04-05 06:00:00;1960-04-04;0.0;G
1960-04-05 06:00:01;1960-04-06 06:00:00;1960-04-05;0.0;G
1960-04-06 06:00:01;1960-04-07 06:00:00;1960-04-06;0.0;G
1960-04-07 06:00:01;1960-04-08 06:00:00;1960-04-07;0.0;G
1960-04-08 06:00:01;1960-04-09 06:00:00;1960-04-08;0.0;G
1960-04-09 06:00:01;1960-04-10 06:00:00;1960-04-09;0.0;G
1960-04-10 06:00:01;1960-04-11 06:00:00;1960-04-10;0.0;G
1960-04-11 06:00:01;1960-04-12 06:00:00;1960-04-11;0.0;G
1960-04-12 06:00:01;1960-04-13 06:00:00;1960-04-12;0.0;G
1960-04-13 06:00:01;1960-04-14 06:00:00;1960-04-13;0.0;G
1960-04-14 06:00:01;1960-04-15 06:00:00;1960-04-14;9.5;G
1960-04-15 06:00:01;1960-04-16 06:00:00;1960-04-15;0.0;G
1960-04-16 06:00:01;1960-04-17 06:00:00;1960-04-16;0.0;G
1960-04-17 06:00:01;1960-04-18 06:00:00;1960-04-17;0.0;G
1960-04-18 06:00:01;1960-04-19 06:00:00;1960-04-18;0.0;G
1960-04-19 06:00:01;1960-04-20 06:00:00;1960-04-19;0.0;G
1960-04-20 06:00:01;1960-04-21 06:00:00;1960-04-20;0.0;G
1960-04-21 06:00:01;1960-04-22 06:00:00;1960-04-21;1.0;G
1960-04-22 06:00:01;1960-04-23 06:00:00;1960-04-22;0.0;G
1960-04-23 06:00:01;1960-04-24 06:00:00;1960-04-23;1.8;G
1960-04-24 06:00:01;1960-04-25 06:00:00;1960-04-24;2.4;G
1960-04-25 06:00:01;1960-04-26 06:00:00;1960-04-25;7.0;G
1960-04-26 06:00:01;1960-04-27 06:00:00;1960-04-26;0.0;G
1960-04-27 06:00:01;1960-04-28 06:00:00;1960-04-27;4.4;G
1960-04-28 06:00:01;1960-04-29 06:00:00;1960-04-28;0.0;G
1960-04-29 06:00:01;1960-04-30 06:00:00;1960-04-29;0.0;G
1960-04-30 06:00:01;1960-05-01 06:00:00;1960-04-30;0.0;G
1960-05-01 06:00:01;1960-05-02 06:00:00;1960-05-01;2.3;G
1960-05-02 06:00:01;1960-05-03 06:00:00;1960-05-02;2.2;G
1960-05-03 06:00:01;1960-05-04 06:00:00;1960-05-03;0.0;G
1960-05-04 06:00:01;1960-05-05 06:00:00;1960-05-04;0.0;G
1960-05-05 06:00:01;1960-05-06 06:00:00;1960-05-05;0.0;G
1960-05-06 06:00:01;1960-05-07 06:00:00;1960-05-06;1.4;G
1960-05-07 06:00:01;1960-05-08 06:00:00;1960-05-07;0.0;G
1960-05-08 06:00:01;1960-05-09 06:00:00;1960-05-08;0.0;G
1960-05-09 06:00:01;1960-05-10 06:00:00;1960-05-09;0.0;G
1960-05-10 06:00:01;1960-05-11 06:00:00;1960-05-10;0.0;G
1960-05-11 06:00:01;1960-05-12 06:00:00;1960-05-11;0.0;G
1960-05-12 06:00:01;1960-05-13 06:00:00;1960-05-12;0.0;G
1960-05-13 06:00:01;1960-05-14 06:00:00;1960-05-13;0.0;G
1960-05-14 06:00:01;1960-05-15 06:00:00;1960-05-14;0.0;G
1960-05-15 06:00:01;1960-05-16 06:00:00;1960-05-15;0.0;G
1960-05-16 06:00:01;1960-05-17 06:00:00;1960-05-16;0.0;G
1960-05-17 06:00:01;1960-05-18 06:00:00;1960-05-17;0.0;G
1960-05-18 06:00:01;1960-05-19 06:00:00;1960-05-18;0.0;G
1960-05-19 06:00:01;1960-05-20 06:00:00;1960-05-19;0.0;G
1960-05-20 06:00:01;1960-05-21 06:00:00;1960-05-20;0.0;G
1960-05-21 06:00:01;1960-05-22 06:00:00;1960-05-21;7.0;G
1960-05-22 06:00:01;1960-05-23 06:00:00;1960-05-22;0.0;G
1960-05-23 06:00:01;1960-05-24 06:00:00;1960-05-23;0.0;G
1960-05-24 06:00:01;1960-05-25 06:00:00;1960-05-24;0.2;G
1960-05-25 06:00:01;1960-05-26 06:00:00;1960-05-25;0.3;G
1960-05-26 06:00:01;1960-05-27 06:00:00;1960-05-26;0.0;G
1960-05-27 06:00:01;1960-05-28 06:00:00;1960-05-27;0.0;G
1960-05-28 06:00:01;1960-05-29 06:00:00;1960-05-28;23.0;G
1960-05-29 06:00:01;1960-05-30 06:00:00;1960-05-29;0.0;G
1960-05-30 06:00:01;1960-05-31 06:00:00;1960-05-30;0.0;G
1960-05-31 06:00:01;1960-06-01 06:00:00;1960-05-31;0.0;G
1960-06-01 06:00:01;1960-06-02 06:00:00;1960-06-01;0.0;G
1960-06-02 06:00:01;1960-06-03 06:00:00;1960-06-02;0.0;G
1960-06-03 06:00:01;1960-06-04 06:00:00;1960-06-03;0.0;G
1960-06-04 06:00:01;1960-06-05 06:00:00;1960-06-04;0.0;G
1960-06-05 06:00:01;1960-06-06 06:00:00;1960-06-05;0.0;G
1960-06-06 06:00:01;1960-06-07 06:00:00;1960-06-06;0.0;G
1960-06-07 06:00:01;1960-06-08 06:00:00;1960-06-07;0.0;G
1960-06-08 06:00:01;1960-06-09 06:00:00;1960-06-08;0.0;G
1960-06-09 06:00:01;1960-06-10 06:00:00;1960-06-09;3.0;G
1960-06-10 06:00:01;1960-06-11 06:00:00;1960-06-10;0.0;G
1960-06-11 06:00:01;1960-06-12 06:00:00;1960-06-11;0.0;G
1960-06-12 06:00:01;1960-06-13 06:00:00;1960-06-12;0.0;G
1960-06-13 06:00:01;1960-06-14 06:00:00;1960-06-13;0.0;G
1960-06-14 06:00:01;1960-06-15 06:00:00;1960-06-14;0.0;G
1960-06-15 06:00:01;1960-06-16 06:00:00;1960-06-15;0.0;G
1960-06-16 06:00:01;1960-06-17 06:00:00;1960-06-16;0.0;G
1960-06-17 06:00:01;1960-06-18 06:00:00;1960-06-17;0.0;G
1960-06-18 06:00:01;1960-06-19 06:00:00;1960-06-18;1.8;G
1960-06-19 06:00:01;1960-06-20 06:00:00;1960-06-19;0.3;G
1960-06-20 06:00:01;1960-06-21 06:00:00;1960-06-20;0.0;G
1960-06-21 06:00:01;1960-06-22 06:00:00;1960-06-21;0.0;G
1960-06-22 06:00:01;1960-06-23 06:00:00;1960-06-22;0.0;G
1960-06-23 06:00:01;1960-06-24 06:00:00;1960-06-23;0.0;G
1960-06-24 06:00:01;1960-06-25 06:00:00;1960-06-24;0.0;G
1960-06-25 06:00:01;1960-06-26 06:00:00;1960-06-25;0.0;G
1960-06-26 06:00:01;1960-06-27 06:00:00;1960-06-26;0.0;G
1960-06-27 06:00:01;1960-06-28 06:00:00;1960-06-27;0.0;G
1960-06-28 06:00:01;1960-06-29 06:00:00;1960-06-28;0.0;G
1960-06-29 06:00:01;1960-06-30 06:00:00;1960-06-29;24.7;G
1960-06-30 06:00:01;1960-07-01 06:00:00;1960-06-30;9.8;G
1960-07-01 06:00:01;1960-07-02 06:00:00;1960-07-01;0.0;G
1960-07-02 06:00:01;1960-07-03 06:00:00;1960-07-02;2.7;G
1960-07-03 06:00:01;1960-07-04 06:00:00;1960-07-03;2.3;G
1960-07-04 06:00:01;1960-07-05 06:00:00;1960-07-04;1.2;G
1960-07-05 06:00:01;1960-07-06 06:00:00;1960-07-05;4.6;G
1960-07-06 06:00:01;1960-07-07 06:00:00;1960-07-06;0.0;G
1960-07-07 06:00:01;1960-07-08 06:00:00;1960-07-07;7.8;G
1960-07-08 06:00:01;1960-07-09 06:00:00;1960-07-08;3.2;G
1960-07-09 06:00:01;1960-07-10 06:00:00;1960-07-09;7.8;G
1960-07-10 06:00:01;1960-07-11 06:00:00;1960-07-10;3.6;G
1960-07-11 06:00:01;1960-07-12 06:00:00;1960-07-11;0.0;G
1960-07-12 06:00:01;1960-07-13 06:00:00;1960-07-12;0.0;G
1960-07-13 06:00:01;1960-07-14 06:00:00;1960-07-13;0.0;G
1960-07-14 06:00:01;1960-07-15 06:00:00;1960-07-14;0.0;G
1960-07-15 06:00:01;1960-07-16 06:00:00;1960-07-15;0.0;G
1960-07-16 06:00:01;1960-07-17 06:00:00;1960-07-16;4.8;G
1960-07-17 06:00:01;1960-07-18 06:00:00;1960-07-17;0.0;G
1960-07-18 06:00:01;1960-07-19 06:00:00;1960-07-18;1.9;G
1960-07-19 06:00:01;1960-07-20 06:00:00;1960-07-19;0.0;G
1960-07-20 06:00:01;1960-07-21 06:00:00;1960-07-20;5.1;G
1960-07-21 06:00:01;1960-07-22 06:00:00;1960-07-21;0.0;G
1960-07-22 06:00:01;1960-07-23 06:00:00;1960-07-22;0.0;G
1960-07-23 06:00:01;1960-07-24 06:00:00;1960-07-23;0.0;G
1960-07-24 06:00:01;1960-07-25 06:00:00;1960-07-24;12.5;G
1960-07-25 06:00:01;1960-07-26 06:00:00;1960-07-25;8.7;G
1960-07-26 06:00:01;1960-07-27 06:00:00;1960-07-26;0.0;G
1960-07-27 06:00:01;1960-07-28 06:00:00;1960-07-27;53.0;G
1960-07-28 06:00:01;1960-07-29 06:00:00;1960-07-28;0.0;G
1960-07-29 06:00:01;1960-07-30 06:00:00;1960-07-29;0.0;G
1960-07-30 06:00:01;1960-07-31 06:00:00;1960-07-30;0.0;G
1960-07-31 06:00:01;1960-08-01 06:00:00;1960-07-31;0.0;G
1960-08-01 06:00:01;1960-08-02 06:00:00;1960-08-01;0.0;G
1960-08-02 06:00:01;1960-08-03 06:00:00;1960-08-02;2.6;G
1960-08-03 06:00:01;1960-08-04 06:00:00;1960-08-03;1.1;G
1960-08-04 06:00:01;1960-08-05 06:00:00;1960-08-04;0.0;G
1960-08-05 06:00:01;1960-08-06 06:00:00;1960-08-05;0.0;G
1960-08-06 06:00:01;1960-08-07 06:00:00;1960-08-06;0.0;G
1960-08-07 06:00:01;1960-08-08 06:00:00;1960-08-07;0.8;G
1960-08-08 06:00:01;1960-08-09 06:00:00;1960-08-08;4.2;G
1960-08-09 06:00:01;1960-08-10 06:00:00;1960-08-09;5.8;G
1960-08-10 06:00:01;1960-08-11 06:00:00;1960-08-10;0.0;G
1960-08-11 06:00:01;1960-08-12 06:00:00;1960-08-11;7.0;G
1960-08-12 06:00:01;1960-08-13 06:00:00;1960-08-12;2.1;G
1960-08-13 06:00:01;1960-08-14 06:00:00;1960-08-13;0.0;G
1960-08-14 06:00:01;1960-08-15 06:00:00;1960-08-14;14.5;G
1960-08-15 06:00:01;1960-08-16 06:00:00;1960-08-15;8.9;G
1960-08-16 06:00:01;1960-08-17 06:00:00;1960-08-16;11.5;G
1960-08-17 06:00:01;1960-08-18 06:00:00;1960-08-17;0.0;G
1960-08-18 06:00:01;1960-08-19 06:00:00;1960-08-18;0.0;G
1960-08-19 06:00:01;1960-08-20 06:00:00;1960-08-19;14.5;G
1960-08-20 06:00:01;1960-08-21 06:00:00;1960-08-20;0.0;G
1960-08-21 06:00:01;1960-08-22 06:00:00;1960-08-21;2.3;G
1960-08-22 06:00:01;1960-08-23 06:00:00;1960-08-22;0.9;G
1960-08-23 06:00:01;1960-08-24 06:00:00;1960-08-23;11.4;G
1960-08-24 06:00:01;1960-08-25 06:00:00;1960-08-24;0.0;G
1960-08-25 06:00:01;1960-08-26 06:00:00;1960-08-25;0.0;G
1960-08-26 06:00:01;1960-08-27 06:00:00;1960-08-26;0.0;G
1960-08-27 06:00:01;1960-08-28 06:00:00;1960-08-27;0.0;G
1960-08-28 06:00:01;1960-08-29 06:00:00;1960-08-28;0.0;G
1960-08-29 06:00:01;1960-08-30 06:00:00;1960-08-29;18.8;G
1960-08-30 06:00:01;1960-08-31 06:00:00;1960-08-30;20.2;G
1960-08-31 06:00:01;1960-09-01 06:00:00;1960-08-31;0.0;G
1960-09-01 06:00:01;1960-09-02 06:00:00;1960-09-01;1.6;G
1960-09-02 06:00:01;1960-09-03 06:00:00;1960-09-02;0.0;G
1960-09-03 06:00:01;1960-09-04 06:00:00;1960-09-03;0.0;G
1960-09-04 06:00:01;1960-09-05 06:00:00;1960-09-04;12.4;G
1960-09-05 06:00:01;1960-09-06 06:00:00;1960-09-05;7.0;G
1960-09-06 06:00:01;1960-09-07 06:00:00;1960-09-06;0.0;G
1960-09-07 06:00:01;1960-09-08 06:00:00;1960-09-07;2.8;G
1960-09-08 06:00:01;1960-09-09 06:00:00;1960-09-08;0.0;G
1960-09-09 06:00:01;1960-09-10 06:00:00;1960-09-09;0.0;G
1960-09-10 06:00:01;1960-09-11 06:00:00;1960-09-10;0.0;G
1960-09-11 06:00:01;1960-09-12 06:00:00;1960-09-11;0.0;G
1960-09-12 06:00:01;1960-09-13 06:00:00;1960-09-12;0.0;G
1960-09-13 06:00:01;1960-09-14 06:00:00;1960-09-13;0.0;G
1960-09-14 06:00:01;1960-09-15 06:00:00;1960-09-14;0.0;G
1960-09-15 06:00:01;1960-09-16 06:00:00;1960-09-15;0.0;G
1960-09-16 06:00:01;1960-09-17 06:00:00;1960-09-16;0.0;G
1960-09-17 06:00:01;1960-09-18 06:00:00;1960-09-17;0.0;G
1960-09-18 06:00:01;1960-09-19 06:00:00;1960-09-18;0.0;G
1960-09-19 06:00:01;1960-09-20 06:00:00;1960-09-19;1.0;G
1960-09-20 06:00:01;1960-09-21 06:00:00;1960-09-20;0.0;G
1960-09-21 06:00:01;1960-09-22 06:00:00;1960-09-21;0.0;G
1960-09-22 06:00:01;1960-09-23 06:00:00;1960-09-22;0.0;G
1960-09-23 06:00:01;1960-09-24 06:00:00;1960-09-23;0.0;G
1960-09-24 06:00:01;1960-09-25 06:00:00;1960-09-24;4.0;G
1960-09-25 06:00:01;1960-09-26 06:00:00;1960-09-25;3.5;G
1960-09-26 06:00:01;1960-09-27 06:00:00;1960-09-26;8.2;G
1960-09-27 06:00:01;1960-09-28 06:00:00;1960-09-27;2.7;G
1960-09-28 06:00:01;1960-09-29 06:00:00;1960-09-28;0.0;G
1960-09-29 06:00:01;1960-09-30 06:00:00;1960-09-29;0.0;G
1960-09-30 06:00:01;1960-10-01 06:00:00;1960-09-30;0.0;G
1960-10-01 06:00:01;1960-10-02 06:00:00;1960-10-01;0.0;G
1960-10-02 06:00:01;1960-10-03 06:00:00;1960-10-02;0.0;G
1960-10-03 06:00:01;1960-10-04 06:00:00;1960-10-03;0.0;G
1960-10-04 06:00:01;1960-10-05 06:00:00;1960-10-04;0.0;G
1960-10-05 06:00:01;1960-10-06 06:00:00;1960-10-05;3.5;G
1960-10-06 06:00:01;1960-10-07 06:00:00;1960-10-06;1.1;G
1960-10-07 06:00:01;1960-10-08 06:00:00;1960-10-07;0.0;G
1960-10-08 06:00:01;1960-10-09 06:00:00;1960-10-08;8.2;G
1960-10-09 06:00:01;1960-10-10 06:00:00;1960-10-09;6.0;G
1960-10-10 06:00:01;1960-10-11 06:00:00;1960-10-10;12.0;G
1960-10-11 06:00:01;1960-10-12 06:00:00;1960-10-11;0.0;G
1960-10-12 06:00:01;1960-10-13 06:00:00;1960-10-12;2.8;G
1960-10-13 06:00:01;1960-10-14 06:00:00;1960-10-13;0.0;G
1960-10-14 06:00:01;1960-10-15 06:00:00;1960-10-14;0.0;G
1960-10-15 06:00:01;1960-10-16 06:00:00;1960-10-15;0.0;G
1960-10-16 06:00:01;1960-10-17 06:00:00;1960-10-16;0.0;G
1960-10-17 06:00:01;1960-10-18 06:00:00;1960-10-17;0.0;G
1960-10-18 06:00:01;1960-10-19 06:00:00;1960-10-18;0.0;G
1960-10-19 06:00:01;1960-10-20 06:00:00;1960-10-19;0.0;G
1960-10-20 06:00:01;1960-10-21 06:00:00;1960-10-20;0.0;G
1960-10-21 06:00:01;1960-10-22 06:00:00;1960-10-21;1.9;G
1960-10-22 06:00:01;1960-10-23 06:00:00;1960-10-22;0.0;G
1960-10-23 06:00:01;1960-10-24 06:00:00;1960-10-23;0.0;G
1960-10-24 06:00:01;1960-10-25 06:00:00;1960-10-24;0.0;G
1960-10-25 06:00:01;1960-10-26 06:00:00;1960-10-25;0.0;G
1960-10-26 06:00:01;1960-10-27 06:00:00;1960-10-26;0.0;G
1960-10-27 06:00:01;1960-10-28 06:00:00;1960-10-27;0.0;G
1960-10-28 06:00:01;1960-10-29 06:00:00;1960-10-28;0.0;G
1960-10-29 06:00:01;1960-10-30 06:00:00;1960-10-29;0.0;G
1960-10-30 06:00:01;1960-10-31 06:00:00;1960-10-30;0.0;G
1960-10-31 06:00:01;1960-11-01 06:00:00;1960-10-31;0.0;G
1960-11-01 06:00:01;1960-11-02 06:00:00;1960-11-01;0.0;G
1960-11-02 06:00:01;1960-11-03 06:00:00;1960-11-02;10.6;G
1960-11-03 06:00:01;1960-11-04 06:00:00;1960-11-03;0.0;G
1960-11-04 06:00:01;1960-11-05 06:00:00;1960-11-04;0.0;G
1960-11-05 06:00:01;1960-11-06 06:00:00;1960-11-05;12.5;G
1960-11-06 06:00:01;1960-11-07 06:00:00;1960-11-06;0.0;G
1960-11-07 06:00:01;1960-11-08 06:00:00;1960-11-07;0.0;G
1960-11-08 06:00:01;1960-11-09 06:00:00;1960-11-08;6.0;G
1960-11-09 06:00:01;1960-11-10 06:00:00;1960-11-09;0.0;G
1960-11-10 06:00:01;1960-11-11 06:00:00;1960-11-10;0.0;G
1960-11-11 06:00:01;1960-11-12 06:00:00;1960-11-11;10.4;G
1960-11-12 06:00:01;1960-11-13 06:00:00;1960-11-12;0.0;G
1960-11-13 06:00:01;1960-11-14 06:00:00;1960-11-13;2.8;G
1960-11-14 06:00:01;1960-11-15 06:00:00;1960-11-14;5.6;G
1960-11-15 06:00:01;1960-11-16 06:00:00;1960-11-15;0.0;G
1960-11-16 06:00:01;1960-11-17 06:00:00;1960-11-16;6.2;G
1960-11-17 06:00:01;1960-11-18 06:00:00;1960-11-17;3.8;G
1960-11-18 06:00:01;1960-11-19 06:00:00;1960-11-18;0.0;G
1960-11-19 06:00:01;1960-11-20 06:00:00;1960-11-19;8.5;G
1960-11-20 06:00:01;1960-11-21 06:00:00;1960-11-20;0.0;G
1960-11-21 06:00:01;1960-11-22 06:00:00;1960-11-21;0.0;G
1960-11-22 06:00:01;1960-11-23 06:00:00;1960-11-22;0.0;G
1960-11-23 06:00:01;1960-11-24 06:00:00;1960-11-23;14.0;G
1960-11-24 06:00:01;1960-11-25 06:00:00;1960-11-24;0.0;G
1960-11-25 06:00:01;1960-11-26 06:00:00;1960-11-25;4.5;G
1960-11-26 06:00:01;1960-11-27 06:00:00;1960-11-26;0.0;G
1960-11-27 06:00:01;1960-11-28 06:00:00;1960-11-27;0.0;G
1960-11-28 06:00:01;1960-11-29 06:00:00;1960-11-28;0.0;G
1960-11-29 06:00:01;1960-11-30 06:00:00;1960-11-29;2.4;G
1960-11-30 06:00:01;1960-12-01 06:00:00;1960-11-30;6.0;G
1960-12-01 06:00:01;1960-12-02 06:00:00;1960-12-01;1.9;G
1960-12-02 06:00:01;1960-12-03 06:00:00;1960-12-02;0.0;G
1960-12-03 06:00:01;1960-12-04 06:00:00;1960-12-03;0.0;G
1960-12-04 06:00:01;1960-12-05 06:00:00;1960-12-04;0.0;G
1960-12-05 06:00:01;1960-12-06 06:00:00;1960-12-05;0.0;G
1960-12-06 06:00:01;1960-12-07 06:00:00;1960-12-06;0.0;G
1960-12-07 06:00:01;1960-12-08 06:00:00;1960-12-07;0.0;G
1960-12-08 06:00:01;1960-12-09 06:00:00;1960-12-08;0.0;G
1960-12-09 06:00:01;1960-12-10 06:00:00;1960-12-09;14.0;G
1960-12-10 06:00:01;1960-12-11 06:00:00;1960-12-10;6.9;G
1960-12-11 06:00:01;1960-12-12 06:00:00;1960-12-11;0.0;G
1960-12-12 06:00:01;1960-12-13 06:00:00;1960-12-12;14.8;G
1960-12-13 06:00:01;1960-12-14 06:00:00;1960-12-13;0.0;G
1960-12-14 06:00:01;1960-12-15 06:00:00;1960-12-14;0.0;G
1960-12-15 06:00:01;1960-12-16 06:00:00;1960-12-15;0.0;G
1960-12-16 06:00:01;1960-12-17 06:00:00;1960-12-16;0.0;G
1960-12-17 06:00:01;1960-12-18 06:00:00;1960-12-17;0.0;G
1960-12-18 06:00:01;1960-12-19 06:00:00;1960-12-18;0.0;G
1960-12-19 06:00:01;1960-12-20 06:00:00;1960-12-19;0.0;G
1960-12-20 06:00:01;1960-12-21 06:00:00;1960-12-20;8.0;G
1960-12-21 06:00:01;1960-12-22 06:00:00;1960-12-21;0.0;G
1960-12-22 06:00:01;1960-12-23 06:00:00;1960-12-22;15.9;G
1960-12-23 06:00:01;1960-12-24 06:00:00;1960-12-23;3.2;G
1960-12-24 06:00:01;1960-12-25 06:00:00;1960-12-24;0.0;G
1960-12-25 06:00:01;1960-12-26 06:00:00;1960-12-25;0.0;G
1960-12-26 06:00:01;1960-12-27 06:00:00;1960-12-26;7.4;G
1960-12-27 06:00:01;1960-12-28 06:00:00;1960-12-27;0.0;G
1960-12-28 06:00:01;1960-12-29 06:00:00;1960-12-28;0.0;G
1960-12-29 06:00:01;1960-12-30 06:00:00;1960-12-29;0.0;G
1960-12-30 06:00:01;1960-12-31 06:00:00;1960-12-30;3.0;G
1960-12-31 06:00:01;1961-01-01 06:00:00;1960-12-31;0.0;G
1961-01-01 06:00:01;1961-01-02 06:00:00;1961-01-01;3.0;G
1961-01-02 06:00:01;1961-01-03 06:00:00;1961-01-02;0.0;G
1961-01-03 06:00:01;1961-01-04 06:00:00;1961-01-03;3.0;G
1961-01-04 06:00:01;1961-01-05 06:00:00;1961-01-04;11.5;G
1961-01-05 06:00:01;1961-01-06 06:00:00;1961-01-05;0.0;G
1961-01-06 06:00:01;1961-01-07 06:00:00;1961-01-06;2.6;G
1961-01-07 06:00:01;1961-01-08 06:00:00;1961-01-07;0.0;G
1961-01-08 06:00:01;1961-01-09 06:00:00;1961-01-08;0.0;G
1961-01-09 06:00:01;1961-01-10 06:00:00;1961-01-09;0.0;G
1961-01-10 06:00:01;1961-01-11 06:00:00;1961-01-10;0.0;G
1961-01-11 06:00:01;1961-01-12 06:00:00;1961-01-11;0.0;G
1961-01-12 06:00:01;1961-01-13 06:00:00;1961-01-12;6.6;G
1961-01-13 06:00:01;1961-01-14 06:00:00;1961-01-13;0.0;G
1961-01-14 06:00:01;1961-01-15 06:00:00;1961-01-14;0.0;G
1961-01-15 06:00:01;1961-01-16 06:00:00;1961-01-15;0.0;G
1961-01-16 06:00:01;1961-01-17 06:00:00;1961-01-16;0.0;G
1961-01-17 06:00:01;1961-01-18 06:00:00;1961-01-17;0.0;G
1961-01-18 06:00:01;1961-01-19 06:00:00;1961-01-18;0.0;G
1961-01-19 06:00:01;1961-01-20 06:00:00;1961-01-19;0.0;G
1961-01-20 06:00:01;1961-01-21 06:00:00;1961-01-20;0.0;G
1961-01-21 06:00:01;1961-01-22 06:00:00;1961-01-21;0.0;G
1961-01-22 06:00:01;1961-01-23 06:00:00;1961-01-22;0.0;G
1961-01-23 06:00:01;1961-01-24 06:00:00;1961-01-23;0.0;G
1961-01-24 06:00:01;1961-01-25 06:00:00;1961-01-24;0.0;G
1961-01-25 06:00:01;1961-01-26 06:00:00;1961-01-25;0.0;G
1961-01-26 06:00:01;1961-01-27 06:00:00;1961-01-26;0.0;G
1961-01-27 06:00:01;1961-01-28 06:00:00;1961-01-27;0.0;G
1961-01-28 06:00:01;1961-01-29 06:00:00;1961-01-28;3.5;G
1961-01-29 06:00:01;1961-01-30 06:00:00;1961-01-29;0.0;G
1961-01-30 06:00:01;1961-01-31 06:00:00;1961-01-30;0.0;G
1961-01-31 06:00:01;1961-02-01 06:00:00;1961-01-31;0.0;G
1961-02-01 06:00:01;1961-02-02 06:00:00;1961-02-01;0.0;G
1961-02-02 06:00:01;1961-02-03 06:00:00;1961-02-02;0.0;G
1961-02-03 06:00:01;1961-02-04 06:00:00;1961-02-03;10.0;G
1961-02-04 06:00:01;1961-02-05 06:00:00;1961-02-04;2.2;G
1961-02-05 06:00:01;1961-02-06 06:00:00;1961-02-05;0.0;G
1961-02-06 06:00:01;1961-02-07 06:00:00;1961-02-06;0.0;G
1961-02-07 06:00:01;1961-02-08 06:00:00;1961-02-07;0.0;G
1961-02-08 06:00:01;1961-02-09 06:00:00;1961-02-08;0.0;G
1961-02-09 06:00:01;1961-02-10 06:00:00;1961-02-09;0.0;G
1961-02-10 06:00:01;1961-02-11 06:00:00;1961-02-10;2.2;G
