Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Säve-Skålvisered;71500;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-10-01 00:00:00;2007-11-30 23:59:59;20.0;57.8305;11.9200

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
2002-10-19;06:00:00;0.13;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-10-20;06:00:00;0.09;Y;;Tidsperiod (fr.o.m.) = 2002-10-01 00:00:00 (UTC)
2002-10-21;06:00:00;0.02;Y;;Tidsperiod (t.o.m.) = 2007-11-30 23:59:59 (UTC)
2002-10-22;06:00:00;0.01;Y;;Samplingstid = Ej angivet
2002-11-30;06:00:00;0.01;Y;;
2002-12-01;06:00:00;0.04;Y;;Kvalitetskoderna:
2002-12-02;06:00:00;0.03;Y;;Grön (G) = Kontrollerade och godkända värden.
2002-12-05;06:00:00;0.02;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-12-06;06:00:00;0.02;Y;;
2002-12-07;06:00:00;0.01;Y;;Nätinformation:
2002-12-08;06:00:00;0.01;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2002-12-09;06:00:00;0.01;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2002-12-10;06:00:00;0.01;Y;;
2002-12-11;06:00:00;0.01;Y;;Möjliga orsaker till saknade data:
2002-12-12;06:00:00;0.01;Y;;– stationen eller givaren har varit ur funktion.
2002-12-13;06:00:00;0.01;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2002-12-14;06:00:00;0.01;Y
2002-12-15;06:00:00;0.01;Y
2002-12-16;06:00:00;0.01;Y
2002-12-17;06:00:00;0.01;Y
2002-12-18;06:00:00;0.01;Y
2002-12-19;06:00:00;0.01;Y
2002-12-29;06:00:00;0.05;Y
2002-12-30;06:00:00;0.05;Y
2002-12-31;06:00:00;0.05;Y
2003-01-01;06:00:00;0.05;Y
2003-01-02;06:00:00;0.05;Y
2003-01-03;06:00:00;0.05;Y
2003-01-04;06:00:00;0.05;Y
2003-01-05;06:00:00;0.06;Y
2003-01-06;06:00:00;0.16;Y
2003-01-07;06:00:00;0.17;Y
2003-01-08;06:00:00;0.16;Y
2003-01-09;06:00:00;0.15;Y
2003-01-10;06:00:00;0.14;Y
2003-01-11;06:00:00;0.14;Y
2003-01-12;06:00:00;0.09;Y
2003-01-13;06:00:00;0.05;Y
2003-01-14;06:00:00;0.02;Y
2003-02-01;06:00:00;0.00;G
2003-02-02;06:00:00;0.09;Y
2003-02-03;06:00:00;0.14;Y
2003-02-04;06:00:00;0.14;Y
2003-02-05;06:00:00;0.14;Y
2003-02-06;06:00:00;0.14;Y
2003-02-07;06:00:00;0.14;Y
2003-02-08;06:00:00;0.14;Y
2003-02-09;06:00:00;0.09;Y
2003-02-10;06:00:00;0.08;Y
2003-02-11;06:00:00;0.08;Y
2003-02-12;06:00:00;0.08;Y
2003-02-13;06:00:00;0.08;Y
2003-02-14;06:00:00;0.08;Y
2003-02-15;06:00:00;0.08;Y
2003-02-16;06:00:00;0.08;Y
2003-02-17;06:00:00;0.08;Y
2003-02-18;06:00:00;0.08;Y
2003-02-19;06:00:00;0.08;Y
2003-02-20;06:00:00;0.06;Y
2003-02-21;06:00:00;0.06;Y
2003-02-22;06:00:00;0.05;Y
2003-02-23;06:00:00;0.05;Y
2003-02-24;06:00:00;0.05;Y
2003-02-25;06:00:00;0.05;Y
2003-02-26;06:00:00;0.05;Y
2003-02-27;06:00:00;0.05;Y
2003-02-28;06:00:00;0.05;Y
2003-03-01;06:00:00;0.05;Y
2003-03-02;06:00:00;0.05;Y
2003-03-03;06:00:00;0.05;Y
2003-03-04;06:00:00;0.05;Y
2003-03-05;06:00:00;0.05;Y
2003-03-06;06:00:00;0.04;Y
2003-03-07;06:00:00;0.06;Y
2003-03-08;06:00:00;0.03;Y
2003-03-09;06:00:00;0.02;Y
2003-04-11;06:00:00;0.04;Y
2003-12-22;06:00:00;0.06;Y
2003-12-23;06:00:00;0.06;Y
2003-12-24;06:00:00;0.03;Y
2003-12-29;06:00:00;0.06;Y
2003-12-30;06:00:00;0.06;Y
2003-12-31;06:00:00;0.06;Y
2004-01-01;06:00:00;0.06;Y
2004-01-02;06:00:00;0.06;Y
2004-01-03;06:00:00;0.06;Y
2004-01-04;06:00:00;0.07;Y
2004-01-05;06:00:00;0.07;Y
2004-01-06;06:00:00;0.07;Y
2004-01-07;06:00:00;0.07;Y
2004-01-08;06:00:00;0.06;Y
2004-01-09;06:00:00;0.06;Y
2004-01-10;06:00:00;0.05;Y
2004-01-11;06:00:00;0.05;Y
2004-01-12;06:00:00;0.04;Y
2004-01-13;06:00:00;0.01;Y
2004-01-24;06:00:00;0.04;Y
2004-01-25;06:00:00;0.05;Y
2004-01-26;06:00:00;0.06;Y
2004-01-27;06:00:00;0.06;Y
2004-01-28;06:00:00;0.06;Y
2004-01-29;06:00:00;0.07;Y
2004-01-30;06:00:00;0.10;Y
2004-01-31;06:00:00;0.06;Y
2004-02-01;06:00:00;0.10;Y
2004-02-02;06:00:00;0.10;Y
2004-02-03;06:00:00;0.06;Y
2004-02-09;06:00:00;0.01;Y
2004-02-10;06:00:00;0.01;Y
2004-02-11;06:00:00;0.01;Y
2004-02-12;06:00:00;0.01;Y
2004-02-13;06:00:00;0.01;Y
2004-02-23;06:00:00;0.03;G
2004-02-24;06:00:00;0.04;G
2004-02-25;06:00:00;0.02;G
2004-02-26;06:00:00;0.01;G
2004-02-27;06:00:00;0.01;G
2004-02-28;06:00:00;0.02;G
2004-02-29;06:00:00;0.02;G
2004-03-01;06:00:00;0.02;G
2004-03-02;06:00:00;0.01;G
2004-03-03;06:00:00;0.01;G
2004-03-04;06:00:00;0.01;G
2004-03-05;06:00:00;0.01;G
2004-11-22;06:00:00;0.05;G
2004-11-23;06:00:00;0.08;G
2004-11-24;06:00:00;0.08;G
2004-12-20;06:00:00;0.06;G
