Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ryningsnäs;75160;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1947-03-01 00:00:00;1971-04-30 23:59:59;90.0;57.2666;15.9333

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1947-03-10;06:00:00;0.40;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1947-12-31;06:00:00;0.26;G;;Tidsperiod (fr.o.m.) = 1947-03-01 00:00:00 (UTC)
1950-01-31;06:00:00;0.15;G;;Tidsperiod (t.o.m.) = 1971-04-30 23:59:59 (UTC)
1968-12-26;06:00:00;0.08;G;;Samplingstid = Ej angivet
1968-12-27;06:00:00;0.13;G;;
1968-12-31;06:00:00;0.15;G;;Kvalitetskoderna:
1969-01-01;06:00:00;0.20;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-01-02;06:00:00;0.22;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-01-03;06:00:00;0.23;Y;;
1969-01-04;06:00:00;0.22;Y;;Nätinformation:
1969-01-05;06:00:00;0.21;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-01-06;06:00:00;0.20;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-01-07;06:00:00;0.21;Y;;
1969-01-08;06:00:00;0.20;Y;;Möjliga orsaker till saknade data:
1969-01-09;06:00:00;0.19;Y;;– stationen eller givaren har varit ur funktion.
1969-01-10;06:00:00;0.19;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1969-01-11;06:00:00;0.18;Y
1969-01-12;06:00:00;0.18;Y
1969-01-13;06:00:00;0.19;Y
1969-01-14;06:00:00;0.28;Y
1969-01-15;06:00:00;0.24;Y
1969-01-16;06:00:00;0.20;Y
1969-01-17;06:00:00;0.18;Y
1969-01-18;06:00:00;0.15;Y
1969-01-19;06:00:00;0.20;Y
1969-01-20;06:00:00;0.25;Y
1969-01-21;06:00:00;0.25;Y
1969-01-22;06:00:00;0.25;Y
1969-01-23;06:00:00;0.34;Y
1969-01-24;06:00:00;0.37;Y
1969-01-25;06:00:00;0.36;Y
1969-01-26;06:00:00;0.34;Y
1969-01-27;06:00:00;0.33;Y
1969-01-28;06:00:00;0.29;Y
1969-01-29;06:00:00;0.24;Y
1969-01-30;06:00:00;0.20;Y
1969-01-31;06:00:00;0.16;Y
1969-02-02;06:00:00;0.15;Y
1969-02-03;06:00:00;0.20;Y
1969-02-04;06:00:00;0.24;Y
1969-02-07;06:00:00;0.15;Y
1969-02-08;06:00:00;0.23;Y
1969-02-09;06:00:00;0.25;Y
1969-02-10;06:00:00;0.25;Y
1969-02-11;06:00:00;0.33;Y
1969-02-12;06:00:00;0.33;Y
1969-02-13;06:00:00;0.35;Y
1969-02-14;06:00:00;0.34;Y
1969-02-15;06:00:00;0.33;Y
1969-02-16;06:00:00;0.33;Y
1969-02-17;06:00:00;0.35;Y
1969-02-18;06:00:00;0.35;Y
1969-02-19;06:00:00;0.35;Y
1969-02-20;06:00:00;0.39;Y
1969-02-21;06:00:00;0.42;Y
1969-02-22;06:00:00;0.40;Y
1969-02-23;06:00:00;0.37;Y
1969-02-24;06:00:00;0.35;Y
1969-02-25;06:00:00;0.34;Y
1969-02-26;06:00:00;0.36;Y
1969-02-27;06:00:00;0.36;Y
1969-02-28;06:00:00;0.35;Y
1969-03-01;06:00:00;0.34;Y
1969-03-02;06:00:00;0.34;Y
1969-03-03;06:00:00;0.33;Y
1969-03-04;06:00:00;0.33;Y
1969-03-05;06:00:00;0.33;Y
1969-03-06;06:00:00;0.32;Y
1969-03-07;06:00:00;0.29;Y
1969-03-08;06:00:00;0.28;Y
1969-03-09;06:00:00;0.28;Y
1969-03-10;06:00:00;0.28;Y
1969-03-11;06:00:00;0.27;Y
1969-03-12;06:00:00;0.27;Y
1969-03-13;06:00:00;0.26;Y
1969-03-14;06:00:00;0.25;Y
1969-03-15;06:00:00;0.24;Y
1969-03-16;06:00:00;0.23;Y
1969-03-17;06:00:00;0.23;Y
1969-03-18;06:00:00;0.23;Y
1969-03-19;06:00:00;0.21;Y
1969-03-20;06:00:00;0.20;Y
1969-03-21;06:00:00;0.19;Y
1969-03-22;06:00:00;0.18;Y
1969-03-23;06:00:00;0.17;Y
1969-03-24;06:00:00;0.16;Y
1969-03-25;06:00:00;0.15;Y
1969-03-26;06:00:00;0.15;Y
1969-03-27;06:00:00;0.13;Y
1969-03-28;06:00:00;0.12;Y
1969-03-29;06:00:00;0.11;Y
1969-03-30;06:00:00;0.10;Y
1969-03-31;06:00:00;0.04;Y
1969-04-01;06:00:00;0.10;Y
1969-04-02;06:00:00;0.03;Y
1969-04-04;06:00:00;0.00;Y
1969-04-05;06:00:00;0.00;Y
1969-04-06;06:00:00;0.00;Y
1969-04-07;06:00:00;0.00;Y
1969-04-08;06:00:00;0.00;Y
1969-04-09;06:00:00;0.00;G
1969-04-10;06:00:00;0.00;G
1969-04-11;06:00:00;0.00;G
1969-04-12;06:00:00;0.00;G
1969-11-02;06:00:00;0.00;G
1969-11-03;06:00:00;0.10;Y
1969-11-04;06:00:00;0.00;G
1969-11-05;06:00:00;0.00;G
1969-11-28;06:00:00;0.00;G
1969-11-29;06:00:00;0.18;Y
1969-11-30;06:00:00;0.23;Y
1969-12-01;06:00:00;0.23;Y
1969-12-02;06:00:00;0.23;Y
1969-12-03;06:00:00;0.22;Y
1969-12-04;06:00:00;0.21;Y
1969-12-05;06:00:00;0.21;Y
1969-12-06;06:00:00;0.20;Y
1969-12-07;06:00:00;0.20;Y
1969-12-08;06:00:00;0.20;Y
1969-12-09;06:00:00;0.19;Y
1969-12-10;06:00:00;0.19;Y
1969-12-11;06:00:00;0.19;Y
1969-12-12;06:00:00;0.19;Y
1969-12-13;06:00:00;0.19;Y
1969-12-14;06:00:00;0.19;Y
1969-12-15;06:00:00;0.19;Y
1969-12-16;06:00:00;0.23;Y
1969-12-17;06:00:00;0.26;Y
1969-12-18;06:00:00;0.31;Y
1969-12-19;06:00:00;0.31;Y
1969-12-20;06:00:00;0.34;Y
1969-12-21;06:00:00;0.35;Y
1969-12-22;06:00:00;0.35;Y
1969-12-23;06:00:00;0.35;Y
1969-12-24;06:00:00;0.35;Y
1969-12-25;06:00:00;0.30;Y
1969-12-26;06:00:00;0.27;Y
1969-12-27;06:00:00;0.23;Y
1969-12-28;06:00:00;0.23;Y
1969-12-29;06:00:00;0.23;Y
1969-12-30;06:00:00;0.25;Y
1969-12-31;06:00:00;0.25;Y
1970-01-01;06:00:00;0.25;Y
1970-01-02;06:00:00;0.25;Y
1970-01-03;06:00:00;0.25;Y
1970-01-04;06:00:00;0.25;Y
1970-01-05;06:00:00;0.25;Y
1970-01-06;06:00:00;0.25;Y
1970-01-07;06:00:00;0.25;Y
1970-01-08;06:00:00;0.25;Y
1970-01-09;06:00:00;0.25;Y
1970-01-10;06:00:00;0.25;Y
1970-01-11;06:00:00;0.25;Y
1970-01-12;06:00:00;0.25;Y
1970-01-13;06:00:00;0.24;Y
1970-01-14;06:00:00;0.24;Y
1970-01-15;06:00:00;0.24;Y
1970-01-16;06:00:00;0.30;Y
1970-01-17;06:00:00;0.30;Y
1970-01-18;06:00:00;0.32;Y
1970-01-19;06:00:00;0.32;Y
1970-01-20;06:00:00;0.32;Y
1970-01-21;06:00:00;0.30;Y
1970-01-22;06:00:00;0.30;Y
1970-01-23;06:00:00;0.29;Y
1970-01-24;06:00:00;0.29;Y
1970-01-25;06:00:00;0.28;Y
1970-01-26;06:00:00;0.28;Y
1970-01-27;06:00:00;0.30;Y
1970-01-28;06:00:00;0.30;Y
1970-01-29;06:00:00;0.30;Y
1970-01-30;06:00:00;0.30;Y
1970-01-31;06:00:00;0.30;Y
1970-02-01;06:00:00;0.30;Y
1970-02-02;06:00:00;0.30;Y
1970-02-03;06:00:00;0.30;Y
1970-02-04;06:00:00;0.28;Y
1970-02-05;06:00:00;0.28;Y
1970-02-06;06:00:00;0.28;Y
1970-02-07;06:00:00;0.28;Y
1970-02-08;06:00:00;0.28;Y
1970-02-09;06:00:00;0.30;Y
1970-02-10;06:00:00;0.30;Y
1970-02-11;06:00:00;0.30;Y
1970-02-12;06:00:00;0.30;Y
1970-02-13;06:00:00;0.30;Y
1970-02-14;06:00:00;0.30;Y
1970-02-15;06:00:00;0.30;Y
1970-02-16;06:00:00;0.30;Y
1970-02-17;06:00:00;0.33;Y
1970-02-18;06:00:00;0.35;Y
1970-02-19;06:00:00;0.35;Y
1970-02-20;06:00:00;0.35;Y
1970-02-21;06:00:00;0.37;Y
1970-02-22;06:00:00;0.39;Y
1970-02-23;06:00:00;0.39;Y
1970-02-24;06:00:00;0.40;Y
1970-02-25;06:00:00;0.40;Y
1970-02-26;06:00:00;0.40;Y
1970-02-27;06:00:00;0.40;Y
1970-02-28;06:00:00;0.40;Y
1970-03-01;06:00:00;0.40;Y
1970-03-02;06:00:00;0.37;Y
1970-03-03;06:00:00;0.37;Y
1970-03-04;06:00:00;0.37;Y
1970-03-05;06:00:00;0.40;Y
1970-03-06;06:00:00;0.50;Y
1970-03-07;06:00:00;0.52;Y
1970-03-08;06:00:00;0.57;Y
1970-03-09;06:00:00;0.62;Y
1970-03-10;06:00:00;0.62;Y
1970-03-11;06:00:00;0.60;Y
1970-03-12;06:00:00;0.60;Y
1970-03-13;06:00:00;0.59;Y
1970-03-14;06:00:00;0.57;Y
1970-03-15;06:00:00;0.56;Y
1970-03-16;06:00:00;0.56;Y
1970-03-17;06:00:00;0.52;Y
1970-03-18;06:00:00;0.46;Y
1970-03-19;06:00:00;0.42;Y
1970-03-20;06:00:00;0.39;Y
1970-03-21;06:00:00;0.36;Y
1970-03-22;06:00:00;0.36;Y
1970-03-23;06:00:00;0.38;Y
1970-03-24;06:00:00;0.38;Y
1970-03-25;06:00:00;0.36;Y
1970-03-26;06:00:00;0.35;Y
1970-03-27;06:00:00;0.35;Y
1970-03-28;06:00:00;0.35;Y
1970-03-29;06:00:00;0.36;Y
1970-03-30;06:00:00;0.36;Y
1970-03-31;06:00:00;0.36;Y
1970-04-01;06:00:00;0.48;Y
1970-04-02;06:00:00;0.51;Y
1970-04-03;06:00:00;0.51;Y
1970-04-04;06:00:00;0.51;Y
1970-04-05;06:00:00;0.60;Y
1970-04-06;06:00:00;0.66;Y
1970-04-07;06:00:00;0.64;Y
1970-04-08;06:00:00;0.52;Y
1970-04-09;06:00:00;0.50;Y
1970-04-10;06:00:00;0.45;Y
1970-04-11;06:00:00;0.53;Y
1970-04-12;06:00:00;0.46;Y
1970-04-13;06:00:00;0.44;Y
1970-04-14;06:00:00;0.42;Y
1970-04-15;06:00:00;0.40;Y
1970-04-16;06:00:00;0.36;Y
1970-04-17;06:00:00;0.30;Y
1970-04-18;06:00:00;0.19;Y
1970-04-19;06:00:00;0.12;Y
1970-04-21;06:00:00;0.00;Y
1970-04-22;06:00:00;0.00;Y
1970-04-23;06:00:00;0.00;Y
1970-04-24;06:00:00;0.00;Y
1970-04-25;06:00:00;0.00;Y
1970-04-26;06:00:00;0.00;Y
1970-04-27;06:00:00;0.00;Y
1970-04-28;06:00:00;0.00;Y
1970-04-29;06:00:00;0.00;G
1970-04-30;06:00:00;0.00;G
1970-05-01;06:00:00;0.00;G
1970-05-02;06:00:00;0.00;G
1970-10-29;06:00:00;0.00;Y
1970-10-30;06:00:00;0.00;Y
1970-10-31;06:00:00;0.00;G
1970-11-01;06:00:00;0.00;G
1970-11-02;06:00:00;0.00;G
1970-11-03;06:00:00;0.00;G
1970-11-04;06:00:00;0.05;Y
1970-11-07;06:00:00;0.00;Y
1970-11-08;06:00:00;0.00;Y
1970-11-09;06:00:00;0.00;Y
1970-11-12;06:00:00;0.04;Y
1970-11-14;06:00:00;0.00;Y
1970-11-15;06:00:00;0.00;Y
1970-11-16;06:00:00;0.00;Y
1970-11-17;06:00:00;0.00;Y
1970-11-18;06:00:00;0.00;G
1970-11-19;06:00:00;0.00;G
1970-11-20;06:00:00;0.00;G
1970-11-21;06:00:00;0.00;G
1970-11-22;06:00:00;0.00;G
1970-11-23;06:00:00;0.00;G
1970-11-24;06:00:00;0.00;G
1970-11-25;06:00:00;0.00;G
1970-11-26;06:00:00;0.00;G
1970-11-27;06:00:00;0.00;G
1970-11-28;06:00:00;0.00;G
1970-11-29;06:00:00;0.00;G
1970-11-30;06:00:00;0.00;G
1970-12-01;06:00:00;0.04;Y
1970-12-03;06:00:00;0.00;G
1970-12-04;06:00:00;0.00;G
1970-12-06;06:00:00;0.00;Y
1970-12-07;06:00:00;0.00;G
1970-12-08;06:00:00;0.00;G
1970-12-09;06:00:00;0.00;G
1970-12-10;06:00:00;0.00;G
1970-12-11;06:00:00;0.00;G
1970-12-12;06:00:00;0.00;G
1970-12-13;06:00:00;0.00;G
1970-12-14;06:00:00;0.00;G
1970-12-15;06:00:00;0.00;G
1970-12-16;06:00:00;0.00;G
1970-12-17;06:00:00;0.00;G
1970-12-18;06:00:00;0.00;G
1970-12-19;06:00:00;0.00;G
1970-12-20;06:00:00;0.00;G
1970-12-21;06:00:00;0.00;G
1970-12-22;06:00:00;0.00;G
1970-12-23;06:00:00;0.00;G
1970-12-24;06:00:00;0.00;G
1970-12-25;06:00:00;0.00;G
1970-12-26;06:00:00;0.05;Y
1970-12-27;06:00:00;0.05;Y
1970-12-28;06:00:00;0.05;Y
1970-12-29;06:00:00;0.05;Y
1970-12-30;06:00:00;0.06;Y
1970-12-31;06:00:00;0.06;Y
1971-01-01;06:00:00;0.06;Y
1971-01-02;06:00:00;0.06;Y
1971-01-03;06:00:00;0.06;Y
1971-01-04;06:00:00;0.06;Y
1971-01-05;06:00:00;0.06;Y
1971-01-06;06:00:00;0.07;Y
1971-01-07;06:00:00;0.06;Y
1971-01-28;06:00:00;0.01;Y
1971-01-29;06:00:00;0.05;Y
1971-01-30;06:00:00;0.05;Y
1971-01-31;06:00:00;0.04;Y
1971-02-01;06:00:00;0.00;Y
1971-02-19;06:00:00;0.07;Y
1971-02-20;06:00:00;0.04;Y
1971-02-21;06:00:00;0.01;Y
1971-02-23;06:00:00;0.00;Y
1971-02-24;06:00:00;0.00;Y
1971-02-27;06:00:00;0.03;Y
1971-02-28;06:00:00;0.03;Y
1971-03-01;06:00:00;0.04;Y
