Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ultuna;97490;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-11-01 00:00:00;2003-04-30 23:59:59;15.0;59.8139;17.6469

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1947-01-01;06:00:00;0.02;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1947-01-02;06:00:00;0.02;G;;Tidsperiod (fr.o.m.) = 1945-11-01 00:00:00 (UTC)
1947-01-03;06:00:00;0.02;G;;Tidsperiod (t.o.m.) = 2003-04-30 23:59:59 (UTC)
1947-01-04;06:00:00;0.02;G;;Samplingstid = Ej angivet
1947-01-05;06:00:00;0.02;G;;
1947-01-06;06:00:00;0.02;G;;Kvalitetskoderna:
1947-01-07;06:00:00;0.02;G;;Grön (G) = Kontrollerade och godkända värden.
1947-01-08;06:00:00;0.07;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1947-01-09;06:00:00;0.09;G;;
1947-01-10;06:00:00;0.09;G;;Nätinformation:
1947-01-11;06:00:00;0.09;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1947-01-12;06:00:00;0.10;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1947-01-13;06:00:00;0.11;G;;
1947-01-14;06:00:00;0.12;G;;Möjliga orsaker till saknade data:
1947-01-15;06:00:00;0.11;G;;– stationen eller givaren har varit ur funktion.
1947-01-16;06:00:00;0.08;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1947-01-21;06:00:00;0.02;G
1947-01-22;06:00:00;0.17;G
1947-01-23;06:00:00;0.18;G
